
凯措具老荐
瘤痢/瘤开疙 : 面合

乞闭 凯措具老荐
楷档,1岿,2岿,3岿,4岿,5岿,6岿,7岿,8岿,9岿,10岿,11岿,12岿,楷钦拌,鉴困
乞斥,0,0,0,0,0,0,2.8,3.6,0.1,0,0,0,6.5
1973,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,18
1974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,1.2,36
1975,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.0,0.0,0.0,0.0,1.6,30
1976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,46
1977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.6,43
1978,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.0,0.0,0.0,0.0,1.2,35
1979,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.0,0.0,0.0,0.0,1.0,38
1980,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50
1981,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.4,0.0,0.0,0.0,0.0,2.4,21
1982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.6,42
1983,0.0,0.0,0.0,0.0,0.0,0.0,3.2,1.8,0.0,0.0,0.0,0.0,5.0,9
1984,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.0,0.0,0.0,1.2,34
1985,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.4,0.0,0.0,0.0,0.0,1.8,25
1986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49
1987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.6,41
1988,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.4,44
1989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,45
1990,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.6,0.0,0.0,0.0,1.2,33
1991,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.8,40
1992,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.2,0.4,0.0,0.0,0.0,3.4,13
1993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48
1994,0.0,0.0,0.0,0.0,0.0,0.0,3.6,4.0,0.0,0.0,0.0,0.0,7.6,4
1995,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1.6,0.0,0.0,0.0,0.0,3.2,15
1996,0.0,0.0,0.0,0.0,0.0,0.0,1.2,2.0,0.0,0.0,0.0,0.0,3.2,14
1997,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1.0,0.4,0.0,0.0,0.0,3.0,17
1998,0.0,0.0,0.0,0.0,0.0,0.0,1.8,1.2,0.0,0.0,0.0,0.0,3.0,16
1999,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.6,0.0,0.0,0.0,0.0,1.8,24
2000,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.4,0.0,0.0,0.0,0.0,1.6,29
2001,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.2,0.0,0.0,0.0,0.0,1.6,28
2002,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.0,0.0,0.0,0.0,1.0,37
2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47
2004,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.0,0.0,0.0,0.0,1.6,27
2005,0.0,0.0,0.0,0.0,0.0,0.2,0.8,0.6,0.0,0.0,0.0,0.0,1.6,26
2006,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.0,0.0,0.0,1.2,32
2007,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2.6,0.0,0.0,0.0,0.0,2.8,19
2008,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1.0,0.0,0.0,0.0,0.0,2.6,20
2009,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6,0.0,0.0,0.0,0.0,0.8,39
2010,0.0,0.0,0.0,0.0,0.0,0.0,2.2,4.6,0.4,0.0,0.0,0.0,7.2,5
2011,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.0,0.0,0.0,0.0,0.0,2.2,22
2012,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.8,0.0,0.0,0.0,0.0,3.8,12
2013,0.0,0.0,0.0,0.0,0.0,0.0,3.6,4.0,0.0,0.0,0.0,0.0,7.6,3
2014,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.2,0.0,0.0,0.0,0.0,1.4,31
2015,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.2,0.0,0.0,0.0,0.0,1.8,23
2016,0.0,0.0,0.0,0.0,0.0,0.0,1.6,4.4,0.0,0.0,0.0,0.0,6.0,7
2017,0.0,0.0,0.0,0.0,0.0,0.0,3.4,2.0,0.0,0.0,0.0,0.0,5.4,8
2018,0.0,0.0,0.0,0.0,0.0,0.0,5.6,6.6,0.0,0.0,0.0,0.0,12.2,1
2019,0.0,0.0,0.0,0.0,0.0,0.0,2.8,3.4,0.4,0.0,0.0,0.0,6.6,6
2020,0.0,0.0,0.0,0.0,0.0,0.0,0.2,4.4,0.0,0.0,0.0,0.0,4.6,10
2021,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.6,0.0,0.0,0.0,0.0,3.8,11
2022,0.0,0.0,0.0,0.0,0.0,1.0,3.4,3.4,0.2,0.0,0.0,0.0,8.0,2


啊厘 变 凯措具
楷档,瘤痢,矫累老,辆丰老,瘤加老荐
1973,没林,1973-07-25,1973-07-26,2
1974,焊篮·面林,1974-08-29,1974-08-29,1
1975,面林,1975-07-30,1975-07-31,2
1976,眠浅飞,1976-08-13,1976-08-13,1
1977,力玫·没林·面林,1977-08-03,1977-08-03,1
1978,没林,1978-07-31,1978-08-01,2
1979,焊篮·面林,1979-08-16,1979-08-16,1
1980,,,,
1981,面林,1981-07-23,1981-07-24,2
1982,没林,1982-08-14,1982-08-14,1
1983,没林,1983-07-30,1983-08-03,5
1984,没林,1984-07-01,1984-07-02,2
1985,力玫·没林·面林,1985-08-13,1985-08-13,1
1986,,,,
1987,没林,1987-08-01,1987-08-03,3
1988,没林,1988-07-19,1988-07-19,1
1989,没林,1989-08-11,1989-08-11,1
1990,焊篮·没林·面林,1990-09-01,1990-09-01,1
1991,焊篮·没林·面林,1991-07-28,1991-07-28,1
1992,没林,1992-08-31,1992-09-01,2
1993,,,,
1994,没林,1994-08-11,1994-08-16,6
1995,没林,1995-07-12,1995-07-14,3
1996,没林,1996-08-09,1996-08-13,5
1997,没林,1997-07-28,1997-08-02,6
1998,没林,1998-08-05,1998-08-07,3
1999,没林,1999-08-07,1999-08-08,2
2000,没林,2000-07-20,2000-07-21,2
2001,没林,2001-07-26,2001-07-29,4
2002,没林,2002-08-26,2002-08-26,1
2003,,,,
2004,没林,2004-08-13,2004-08-13,1
2005,没林,2005-07-23,2005-07-24,2
2006,没林,2006-07-12,2006-07-14,3
2007,面林,2007-08-11,2007-08-13,3
2008,没林,2008-08-11,2008-08-12,2
2009,没林·面林,2009-08-19,2009-08-19,1
2010,没林,2010-07-29,2010-08-06,9
2011,没林,2011-07-26,2011-07-28,3
2012,没林,2012-07-28,2012-08-03,7
2013,没林,2013-08-12,2013-08-18,7
2014,没林,2014-08-05,2014-08-05,1
2015,没林,2015-07-29,2015-08-02,5
2016,没林,2016-08-11,2016-08-20,10
2017,没林,2017-07-19,2017-07-24,6
2018,没林,2018-07-20,2018-08-15,27
2019,没林,2019-07-22,2019-08-05,15
2020,没林,2020-08-24,2020-08-30,7
2021,没林,2021-07-21,2021-07-31,11
2022,没林,2022-07-26,2022-08-08,14


啊厘 狐弗/啊厘 词篮 凯措具
楷档,啊厘 狐弗 瘤痢,啊厘 狐弗 朝楼,啊厘 词篮 瘤痢,啊厘 词篮 朝楼
1973,没林·面林,1973-07-13,力玫·没林,1973-08-16
1974,没林·面林,1974-08-02,焊篮·面林,1974-08-29
1975,面林,1975-07-23,没林,1975-08-20
1976,眠浅飞,1976-08-13,眠浅飞,1976-08-13
1977,力玫·没林·面林,1977-08-03,力玫·没林·面林,1977-08-03
1978,力玫·眠浅飞,1978-07-03,没林,1978-08-01
1979,没林,1979-07-26,焊篮·面林,1979-08-16
1980,,,,
1981,面林,1981-07-23,没林·面林,1981-08-02
1982,没林,1982-08-05,没林,1982-08-14
1983,没林,1983-07-24,面林,1983-08-06
1984,没林,1984-07-01,焊篮·面林,1984-08-20
1985,没林,1985-07-28,力玫·没林·面林,1985-08-13
1986,,,,
1987,没林,1987-08-01,没林,1987-08-03
1988,没林,1988-07-08,没林,1988-07-19
1989,没林,1989-08-11,没林,1989-08-11
1990,面林,1990-07-07,焊篮·没林·面林,1990-09-01
1991,没林,1991-07-19,焊篮·没林·面林,1991-07-28
1992,力玫·没林·面林,1992-07-20,没林·面林,1992-09-01
1993,,,,
1994,没林·面林,1994-07-04,没林·面林,1994-08-16
1995,没林,1995-07-08,没林,1995-08-18
1996,没林,1996-07-20,没林,1996-08-21
1997,没林,1997-07-03,没林·面林,1997-09-01
1998,没林,1998-07-07,没林,1998-08-14
1999,没林,1999-07-21,没林,1999-08-08
2000,没林,2000-07-20,没林,2000-08-30
2001,没林·面林,2001-07-22,没林,2001-08-02
2002,焊篮,2002-07-26,没林,2002-08-26
2003,,,,
2004,没林·面林,2004-07-18,没林,2004-08-13
2005,没林,2005-06-30,没林,2005-08-14
2006,没林,2006-07-12,没林,2006-08-16
2007,没林,2007-07-27,没林,2007-08-26
2008,没林,2008-07-05,没林,2008-08-12
2009,没林,2009-07-17,没林·面林,2009-08-19
2010,没林,2010-07-17,没林,2010-09-04
2011,没林,2011-07-02,没林,2011-08-16
2012,没林,2012-07-24,没林·面林,2012-08-27
2013,没林,2013-07-03,没林,2013-08-21
2014,没林,2014-07-30,没林,2014-08-05
2015,没林,2015-07-29,没林,2015-08-07
2016,没林,2016-07-22,没林,2016-08-23
2017,没林,2017-07-13,焊篮·没林·面林,2017-08-23
2018,没林,2018-07-10,力玫·没林·面林,2018-08-22
2019,没林,2019-07-22,没林·面林,2019-09-06
2020,没林,2020-07-31,没林,2020-08-30
2021,没林,2021-07-12,没林,2021-08-05
2022,没林,2022-06-25,没林,2022-09-17


