
열대야일수
지점/지역명 : 충남

평균 열대야일수
연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연합계,순위
평년,0,0,0,0,0,0,2.8,3.6,0.1,0,0,0,6.5
1973,0.0,0.0,0.0,0.0,0.0,0.0,2.7,1.0,0.0,0.0,0.0,0.0,3.7,26
1974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,47
1975,0.0,0.0,0.0,0.0,0.0,0.0,2.7,1.5,0.2,0.0,0.0,0.0,4.3,19
1976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.0,3.2,29
1977,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.2,0.0,0.0,0.0,1.8,40
1978,0.0,0.0,0.0,0.0,0.0,0.0,3.8,2.0,0.0,0.0,0.0,0.0,5.8,15
1979,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.8,0.0,0.0,0.0,0.0,3.0,32
1980,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.7,49
1981,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.8,0.0,0.0,0.0,0.0,2.5,34
1982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,1.3,44
1983,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.7,0.0,0.0,0.0,0.0,4.2,20
1984,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.7,0.0,0.0,0.0,0.0,2.0,39
1985,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.5,0.2,0.0,0.0,0.0,1.0,46
1986,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.7,48
1987,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.0,0.0,0.0,0.0,1.7,42
1988,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0.3,0.0,0.0,0.0,0.0,3.0,31
1989,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,45
1990,0.0,0.0,0.0,0.0,0.0,0.2,2.2,1.3,0.3,0.0,0.0,0.0,4.0,21
1991,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,3.8,24
1992,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.2,0.7,0.0,0.0,0.0,4.3,18
1993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50
1994,0.0,0.0,0.0,0.0,0.0,0.3,11.5,7.7,0.2,0.0,0.0,0.0,19.7,1
1995,0.0,0.0,0.0,0.0,0.0,0.0,3.3,5.5,0.0,0.0,0.0,0.0,8.8,9
1996,0.0,0.0,0.0,0.0,0.0,0.0,2.8,3.2,0.0,0.0,0.0,0.0,6.0,14
1997,0.0,0.0,0.0,0.0,0.0,0.0,2.8,4.2,0.3,0.0,0.0,0.0,7.3,13
1998,0.0,0.0,0.0,0.0,0.0,0.0,1.8,3.2,0.0,0.0,0.0,0.0,5.0,17
1999,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.7,0.0,0.0,0.0,0.0,2.0,38
2000,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.3,0.0,0.0,0.0,0.0,3.8,23
2001,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.3,0.0,0.0,0.0,0.0,7.3,12
2002,0.0,0.0,0.0,0.0,0.0,0.0,2.2,1.7,0.0,0.0,0.0,0.0,3.8,22
2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,1.5,43
2004,0.0,0.0,0.0,0.0,0.0,0.0,1.8,1.0,0.0,0.0,0.0,0.0,2.8,33
2005,0.0,0.0,0.0,0.0,0.0,0.2,0.5,2.8,0.0,0.0,0.0,0.0,3.5,27
2006,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.0,0.0,0.0,0.0,0.0,2.2,37
2007,0.0,0.0,0.0,0.0,0.0,0.0,0.2,3.3,0.2,0.0,0.0,0.0,3.7,25
2008,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.7,0.0,0.0,0.0,0.0,2.3,35
2009,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.2,0.0,0.0,0.0,0.0,1.7,41
2010,0.0,0.0,0.0,0.0,0.0,0.0,2.5,7.8,0.0,0.0,0.0,0.0,10.3,5
2011,0.0,0.0,0.0,0.0,0.0,0.0,2.8,2.2,0.0,0.0,0.0,0.0,5.0,16
2012,0.0,0.0,0.0,0.0,0.0,0.0,2.3,6.5,0.0,0.0,0.0,0.0,8.8,8
2013,0.0,0.0,0.0,0.0,0.0,0.0,6.5,8.5,0.0,0.0,0.0,0.0,15.0,3
2014,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.0,0.0,0.0,0.0,0.0,2.2,36
2015,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.8,0.0,0.0,0.0,0.0,3.0,30
2016,0.0,0.0,0.0,0.0,0.0,0.0,3.7,4.5,0.0,0.0,0.0,0.0,8.2,10
2017,0.0,0.0,0.0,0.0,0.0,0.0,5.3,3.5,0.0,0.0,0.0,0.0,8.8,7
2018,0.0,0.0,0.0,0.0,0.0,0.0,7.2,10.0,0.0,0.0,0.0,0.0,17.2,2
2019,0.0,0.0,0.0,0.0,0.0,0.0,4.7,5.0,0.3,0.0,0.0,0.0,10.0,6
2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,11
2021,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0.7,0.0,0.0,0.0,0.0,3.3,28
2022,0.0,0.0,0.0,0.0,0.0,1.3,3.2,8.0,0.2,0.0,0.0,0.0,12.7,4


가장 긴 열대야
연도,지점,시작일,종료일,지속일수
1973,보령·서산,1973-07-13,1973-07-14,2
1974,천안,1974-08-01,1974-08-02,2
1975,서산,1975-07-20,1975-07-24,5
1976,대전·보령·부여,1976-08-12,1976-08-13,2
1977,보령,1977-09-10,1977-09-10,1
1978,서산,1978-08-07,1978-08-10,4
1979,서산,1979-07-31,1979-08-03,4
1980,금산,1980-07-20,1980-07-21,2
1981,서산,1981-08-01,1981-08-02,2
1982,대전·부여,1982-08-14,1982-08-14,1
1983,서산,1983-07-30,1983-08-03,5
1984,금산,1984-07-02,1984-07-03,2
1985,보령,1985-09-02,1985-09-02,1
1986,보령,1986-08-26,1986-08-26,1
1987,보령·부여·천안,1987-08-27,1987-08-27,1
1988,보령,1988-07-18,1988-07-20,3
1989,대전·보령,1989-08-11,1989-08-11,1
1990,대전,1990-07-28,1990-07-30,3
1991,보령,1991-07-18,1991-07-21,4
1992,대전,1992-07-20,1992-07-22,3
1993,,,,
1994,서산,1994-08-11,1994-08-16,6
1995,서산,1995-07-30,1995-08-07,9
1996,보령,1996-07-23,1996-07-26,4
1997,부여,1997-07-29,1997-07-31,3
1998,보령,1998-08-03,1998-08-07,5
1999,서산,1999-08-08,1999-08-08,1
2000,보령,2000-07-18,2000-07-21,4
2001,보령,2001-07-21,2001-07-29,9
2002,대전,2002-07-25,2002-07-29,5
2003,대전,2003-08-21,2003-08-23,3
2004,대전,2004-07-18,2004-07-20,3
2005,보령·서산,2005-08-11,2005-08-14,4
2006,부여,2006-08-15,2006-08-16,2
2007,보령,2007-08-08,2007-08-13,6
2008,부여,2008-08-11,2008-08-12,2
2009,보령,2009-08-10,2009-08-11,2
2010,보령,2010-08-03,2010-08-06,4
2011,보령,2011-07-26,2011-07-30,5
2012,보령,2012-07-28,2012-08-06,10
2013,서산,2013-08-01,2013-08-09,9
2014,대전,2014-07-22,2014-07-24,3
2015,대전,2015-07-29,2015-08-02,5
2016,대전,2016-08-17,2016-08-20,4
2017,대전,2017-07-19,2017-07-24,6
2018,대전,2018-07-20,2018-08-15,27
2019,대전,2019-07-29,2019-08-05,8
2020,대전,2020-08-25,2020-08-29,5
2021,대전,2021-07-27,2021-07-31,5
2022,보령·서산,2022-07-29,2022-08-08,11


가장 빠른/가장 늦은 열대야
연도,가장 빠른 지점,가장 빠른 날짜,가장 늦은 지점,가장 늦은 날짜
1973,대전·보령·부여·서산·천안,1973-07-13,보령·서산,1973-08-27
1974,천안,1974-08-01,보령·천안,1974-08-05
1975,금산,1975-07-15,서산,1975-09-02
1976,금산,1976-08-01,보령·서산·천안,1976-08-21
1977,금산·대전·부여,1977-07-03,보령,1977-09-10
1978,부여,1978-07-01,서산,1978-08-14
1979,대전·부여·천안,1979-07-26,대전·보령·부여,1979-08-16
1980,금산·대전,1980-07-20,금산·부여,1980-07-21
1981,부여,1981-07-24,서산,1981-08-08
1982,대전·보령·부여·서산·천안,1982-08-05,대전·부여,1982-08-14
1983,금산,1983-07-24,보령,1983-08-26
1984,금산·대전·부여·천안,1984-07-02,대전·보령·부여,1984-08-19
1985,대전,1985-07-22,보령,1985-09-02
1986,천안,1986-07-25,보령,1986-08-26
1987,금산,1987-07-21,보령·부여·천안,1987-08-27
1988,대전·부여,1988-07-08,보령,1988-08-16
1989,보령·서산·천안,1989-07-19,대전·보령,1989-08-11
1990,금산,1990-06-18,보령,1990-09-10
1991,보령,1991-07-18,대전,1991-07-29
1992,대전·보령·부여·천안,1992-07-20,대전·부여·서산·천안,1992-09-01
1993,,,,
1994,금산,1994-06-25,천안,1994-09-04
1995,금산·대전·천안,1995-07-08,대전·보령·서산,1995-08-18
1996,부여·천안,1996-07-20,부여·천안,1996-08-21
1997,금산·대전·천안,1997-07-03,대전·천안,1997-09-01
1998,보령,1998-07-06,보령·부여,1998-08-14
1999,대전·부여,1999-07-21,서산,1999-08-08
2000,보령,2000-07-16,금산·대전·보령,2000-08-30
2001,부여,2001-07-01,보령,2001-08-18
2002,대전·부여,2002-07-25,대전,2002-08-29
2003,대전·서산,2003-08-02,대전·보령·서산,2003-08-23
2004,대전·보령·부여·서산·천안,2004-07-18,대전·부여,2004-08-13
2005,천안,2005-06-30,대전·보령·서산,2005-08-14
2006,대전·부여,2006-07-12,부여,2006-08-21
2007,대전,2007-07-27,보령,2007-09-18
2008,천안,2008-07-05,부여,2008-08-12
2009,보령·부여·천안,2009-07-17,대전·보령·부여·서산·천안,2009-08-19
2010,보령·천안,2010-07-17,보령,2010-08-28
2011,대전,2011-07-02,금산·대전·부여,2011-08-16
2012,보령,2012-07-22,보령·부여·천안,2012-08-27
2013,대전,2013-07-03,대전·보령·부여·천안,2013-08-21
2014,대전,2014-07-20,금산·대전·보령·부여·서산·천안,2014-08-01
2015,대전·보령,2015-07-29,대전·보령,2015-08-07
2016,보령,2016-07-22,보령,2016-08-23
2017,홍성·홍성(예),2017-07-09,금산·대전·보령·부여·서산·홍성·홍성(예),2017-08-23
2018,보령,2018-07-10,보령·홍성·홍성(예),2018-08-29
2019,서산,2019-07-19,대전·보령·세종·세종(예),2019-09-06
2020,금산·대전·보령·부여·세종·세종(예)·홍성·홍성(예),2020-08-02,대전,2020-08-29
2021,대전,2021-07-12,대전,2021-08-09
2022,대전·보령·부여·세종·세종(예)·홍성·홍성(예),2022-06-26,보령,2022-09-15


