시도별,시점,합계_면적,합계_생산량,사과_면적,사과_10a생산량,사과_생산량,배_면적,배_10a생산량,배_생산량,복숭아_면적,복숭아_10a생산량,복숭아_생산량,포도_면적,포도_10a생산량,포도_생산량,감귤_면적,감귤_10a생산량,감귤_생산량,감_면적,감_10a생산량,감_생산량,단감_면적,단감_10a생산량,단감_생산량,떫은감_면적,떫은감_10a생산량,떫은감_생산량,자두_면적,자두_10a생산량,자두_생산량,매실_면적,매실_10a생산량,매실_생산량,기타_면적,기타_10a생산량,기타_생산량
계,1980,99093.5,833080.0,46132.1,889.0,410046.5,9164.0,650.0,59570.1,10359.4,856.0,88691.9,7653.6,742.0,56764.4,12205.1,1323.0,161433.5,6589.6,483.0,31836.9,,,,,,,,,,,,,6989.7,354.0,24736.7
계,1981,100219.0,1026395.0,46685.0,1121.0,523145.0,9311.0,769.0,71596.0,10195.0,870.0,88740.0,9186.0,781.0,71724.0,12579.0,1659.0,208654.0,7621.0,515.0,39254.0,,,,,,,2919.0,612.0,17859.0,,,,1723.0,315.0,5423.0
계,1982,101273.0,1194373.0,42740.0,1233.0,527141.0,9713.0,993.0,96447.0,9668.0,940.0,90870.0,11162.0,849.0,94809.0,13632.0,2045.0,278784.0,7783.0,743.0,57808.0,,,,,,,3460.0,684.0,23658.0,,,,3115.0,798.0,24857.0
계,1983,105469.0,1399708.0,41297.0,1419.0,586023.0,9802.0,1085.0,106304.0,10732.0,924.0,99199.0,14165.0,926.0,131111.0,14838.0,2228.0,330623.0,8207.0,1109.0,91052.0,,,,,,,3683.0,820.0,30203.0,,,,2745.0,918.0,25193.0
계,1984,106927.0,1228708.0,39189.0,1348.0,528175.0,9041.0,1122.0,101448.0,11820.0,831.0,98174.0,15514.0,804.0,124676.0,15450.0,1690.0,261129.0,9296.0,740.0,68812.0,,,,,,,3854.0,744.0,28660.0,,,,2763.0,638.0,17634.0
계,1985,108747.0,1463811.0,37698.0,1413.0,532571.0,9022.0,1420.0,128079.0,13138.0,1001.0,131544.0,16206.0,925.0,149912.0,15688.0,2362.0,370543.0,9838.0,986.0,97031.0,,,,,,,4029.0,832.0,33505.0,,,,3128.0,659.0,20626.0
계,1986,112222.0,1475217.0,36443.0,1476.0,537737.0,9017.0,1498.0,135069.0,14456.0,959.0,138654.0,17037.0,971.0,165470.0,16773.0,2024.0,339507.0,10812.0,915.0,98906.0,,,,,,,3992.0,942.0,37616.0,,,,3692.0,603.0,22258.0
계,1987,113897.0,1582872.0,38976.0,1427.0,556160.0,8088.0,1791.0,144856.0,14016.0,983.0,137774.0,16813.0,941.0,158158.0,18161.0,2428.0,441019.0,9863.0,767.0,75677.0,,,,,,,3678.0,1008.0,37088.0,,,,4302.0,747.0,32140.0
계,1988,119544.0,1713721.0,43190.0,1483.0,640333.0,8381.0,2287.0,191711.0,13308.0,1012.0,134613.0,16119.0,968.0,156070.0,18217.0,2277.0,414861.0,11010.0,893.0,98337.0,,,,,,,3294.0,971.0,31990.0,,,,6025.0,760.0,45806.0
계,1989,126780.0,2184961.0,46884.0,1442.0,676016.0,8792.0,2262.0,198852.0,12898.0,1031.0,133009.0,15836.0,991.0,156879.0,18822.0,3966.0,746516.0,12369.0,917.0,113403.0,,,,,,,3255.0,673.0,21895.0,,,,7924.0,779.0,61726.0
계,1990,133309.0,1766248.0,48833.0,1288.0,628947.0,9058.0,1759.0,159335.0,12333.0,929.0,114578.0,14962.0,878.0,131324.0,19287.0,2554.0,492676.0,13581.0,705.0,95758.0,,,,,,,3191.0,790.0,25211.0,,,,12064.0,982.0,118419.0
계,1991,138833.0,1764722.0,50595.0,1071.0,542015.0,9495.0,1741.0,165310.0,11529.0,1055.0,121654.0,14802.0,1000.0,147973.0,20221.0,2751.0,556368.0,15076.0,728.0,109722.0,,,,,,,3024.0,796.0,24080.0,,,,14091.0,693.0,97600.0
계,1992,147702.0,2090240.0,52985.0,1311.0,694766.0,10339.0,1678.0,173511.0,10635.0,1089.0,115792.0,14957.0,978.0,146346.0,22413.0,3208.0,718955.0,17584.0,882.0,155111.0,,,,,,,2933.0,772.0,22630.0,,,,15856.0,398.0,63129.0
계,1993,155092.0,1920067.0,52297.0,1178.0,615991.0,11009.0,1473.0,162133.0,10548.0,1171.0,123482.0,16991.0,964.0,163780.0,22247.0,2783.0,619182.0,19719.0,589.0,116070.0,,,,,,,2877.0,708.0,20372.0,,,,19404.0,510.0,99057.0
계,1994,161517.0,1929610.0,52098.0,1183.0,616505.0,12649.0,1294.0,163729.0,10166.0,1130.0,114837.0,19773.0,1072.0,211930.0,22233.0,2469.0,548961.0,22440.0,746.0,167471.0,,,,,,,2670.0,778.0,20764.0,,,,19488.0,438.0,85413.0
계,1995,174130.0,2300065.0,50103.0,1429.0,715982.0,15752.0,1132.0,178321.0,10241.0,1266.0,129640.0,26030.0,1216.0,316443.0,24348.0,2525.0,614801.0,25009.0,778.0,194585.0,,,,,,,2693.0,938.0,25263.0,,,,19954.0,627.0,125030.0
계,1996,173304.0,2207039.0,43857.0,1485.0,651406.0,18243.0,1202.0,219322.0,10002.0,1275.0,127540.0,27196.0,1314.0,357274.0,25423.0,2022.0,514053.0,27201.0,775.0,210766.0,,,,,,,3053.0,939.0,28678.0,,,,18329.0,535.0,98000.0
계,1997,176102.0,2451653.0,39995.0,1630.0,651778.0,21983.0,1183.0,260168.0,10892.0,1348.0,146793.0,28290.0,1390.0,393195.0,25731.0,2522.0,648923.0,28812.0,831.0,239570.0,,,,,,,3126.0,1152.0,36006.0,,,,17273.0,435.0,75220.0
계,1998,173234.0,2120211.0,34692.0,1323.0,459010.0,24612.0,1055.0,259770.0,12012.0,1260.0,151313.0,29044.0,1333.0,387179.0,24667.0,1984.0,489393.0,30031.0,868.00639,260671.0,23514.0,893.0,210085.0,6517.0,776.0,50586.0,3615.0,1079.0,39006.0,,,,14561.0,490.0,73869.0
계,1999,171327.0,2336239.0,31079.0,1577.0,490152.0,25677.0,1009.0,259086.0,12942.0,1214.0,157177.0,29462.0,1538.0,453119.0,24959.0,2373.0,592207.0,30821.0,888.50135,273845.0,23907.0,894.0,213822.0,6914.0,868.0,60023.0,4098.0,1066.0,43671.0,,,,12289.0,517.0,66982.0
계,2000,172790.0,2428691.0,29063.0,1682.0,488960.0,26206.0,1237.0,324166.0,13876.0,1225.0,170044.0,29200.0,1629.0,475594.0,26821.0,2101.0,563470.0,31193.0,922.79358,287847.0,23816.0,955.0,227394.0,7377.0,819.0,60453.0,4731.0,1093.0,51723.0,,,,11700.0,572.0,66887.0
계,2001,172137.0,2481499.0,26328.0,1533.0,403583.0,25535.0,1634.0,417160.0,14412.0,1154.0,166275.0,26803.0,1692.0,453578.0,26655.0,2419.0,644731.0,30489.0,886.67388,270338.0,22807.0,866.0,197583.0,7682.0,947.0,72755.0,5303.0,1091.0,57874.0,,,,16612.0,409.10185,67960.0
계,2002,171259.0,2516458.0,26163.0,1656.0,433165.0,25317.0,1522.0,386348.0,15598.0,1202.0,187542.0,26007.0,1623.0,422036.0,26248.0,2448.0,642525.0,29070.0,967.12418,281143.0,21124.0,946.0,199869.0,7946.0,1023.0,81274.0,5939.0,1272.0,75572.0,,,,16917.0,520.93752,88127.0
계,2003,167860.0,2288913.0,26398.0,1384.0,365354.0,24025.0,1316.0,316568.0,15880.0,1193.0,189413.0,24801.0,1518.0,376430.0,24595.0,2569.0,631929.0,27943.0,891.84053,249207.0,19620.0,831.0,163004.0,8323.0,1036.0,86203.0,6452.0,1200.0,77438.0,,,,17766.0,464.78667,82574.0
계,2004,162145.0,2429241.0,26676.0,1339.0,357180.0,22906.0,1966.0,451861.0,15566.0,1288.0,200534.0,22909.0,1606.0,367894.0,22107.0,2643.0,584353.0,27159.0,1101.09356,299046.0,18533.0,1054.0,195361.0,8626.0,1202.0,103685.0,6600.0,1091.0,71983.0,,,,18222.0,528.97596,96390.0
계,2005,159612.0,2610769.0,26907.0,1366.0,367517.0,21735.0,2033.0,443265.0,15014.0,1490.0,223701.0,22057.0,1729.0,381436.0,21504.0,2967.0,637961.0,26831.0,1355.9763,363822.0,17199.0,1371.0,235854.0,9632.0,1329.0,127968.0,6696.0,1134.0,75963.0,,,,18868.0,620.64872,117104.0
계,2006,156957.0,2499028.0,28312.0,1439.74703,407621.0,20656.0,2088.8065,431464.0,13383.0,1448.0,193816.0,19248.0,1715.0,330049.0,21382.0,2901.0,620292.0,28436.0,1240.75819,352822.0,17304.0,1194.0,206589.0,11132.0,1314.0,146233.0,6000.0,1074.0,64419.0,,,,19540.0,504.32446,98545.0
계,2007,159119.0,2752006.0,29358.0,1484.0,435686.0,19888.0,2350.0,467426.0,13188.0,1399.0,184497.0,18843.0,1744.0,328680.0,21476.0,3621.0,777547.0,28839.0,1371.80207,395614.0,16309.0,1272.0,207472.0,12530.0,1502.0,188142.0,5803.0,1117.0,64816.0,,,,21724.0,449.91714,97740.0
계,2008,160939.0,2739588.0,30006.0,1569.0,470865.0,18277.0,2576.0,470745.0,12638.0,1496.0,189064.0,18240.0,1829.0,333596.0,21229.0,2998.0,636413.0,30669.0,1403.76602,430521.0,16259.0,1329.0,216030.0,14410.0,1488.0,214491.0,5778.0,1155.0,66748.0,,,,24102.0,587.65248,141636.0
계,2009,157097.0,2499971.0,30451.0,1624.0,494491.0,17090.0,2448.0,418368.0,12967.0,1041.0,134939.0,17996.0,1552.0,279296.0,21396.0,3399.0,727295.0,30347.0,915.27004,277757.0,14785.0,1161.0,171645.0,15562.0,682.0,106112.0,5587.0,854.0,47698.0,,,,21263.0,565.0,120127.0
계,2010,162472.0,2215718.0,30992.0,1485.0,460285.0,16239.0,1896.0,307820.0,13908.0,968.0,134665.0,17572.0,1463.0,257128.0,21143.0,2908.0,614871.0,31808.0,827.61569,263248.0,15244.0,1011.0,154165.0,16564.0,659.0,109083.0,5870.0,791.0,46455.0,,,,24940.0,526.0,131246.0
계,2011,161232.0,2102426.0,31167.0,1218.0,379541.0,15081.0,1926.0,290494.0,13795.0,926.0,127756.0,17445.0,1299.0,226590.0,21424.0,3009.0,644631.0,31339.0,871.5243,273127.0,14299.0,1067.0,152521.0,17040.0,708.0,120606.0,5724.0,710.0,40636.0,,,,25257.0,474.0,119651.0
계,2012,159658.0,2027194.0,30734.0,1284.0,394596.0,14353.0,1203.0,172599.0,14335.0,941.0,134916.0,17181.0,1369.0,235181.0,21362.0,3062.0,654031.0,30264.0,946.54044,286461.0,13390.0,1176.0,157409.0,16874.0,765.0,129052.0,5714.0,712.0,40687.0,,,,25715.0,423.0,108723.0
계,2013,160797.0,2207429.0,30449.0,1621.0,493701.0,13740.0,2054.0,282212.0,14633.0,871.0,127398.0,16931.0,1298.0,219680.0,21334.0,3072.0,655284.0,29153.0,909.16544,265049.0,12905.0,1125.0,145128.0,16248.0,738.0,119921.0,5656.0,727.0,41116.0,,,,28901.0,426.0,122989.0
계,2014,161888.0,2347279.0,30702.0,1546.0,474712.0,13127.0,2306.0,302731.0,15539.0,857.0,133124.0,16348.0,1401.0,228971.0,21338.0,3222.0,687516.0,27988.0,1174.85708,328819.0,12451.0,1409.0,175405.0,15537.0,987.0,153414.0,5662.0,779.0,44107.0,,,,31184.0,472.0,147299.0
계,2015,162944.0,2364233.0,31620.0,1843.0,582846.0,12664.0,2061.0,260975.0,16704.0,921.0,153882.0,15397.0,1453.0,223695.0,21265.0,3009.0,639892.0,27034.0,1122.75653,303526.0,11849.0,1333.0,157990.0,15185.0,958.0,145536.0,5920.0,835.0,49417.0,,,,32340.0,464.0,150000.0
계,2016,166473.0,2387183.0,33300.0,1731.0,576369.0,11164.0,2132.0,238014.0,19877.0,1044.0,207539.0,14946.0,1534.0,229284.0,21682.0,2813.0,609832.0,25060.0,1142.80926,286388.0,10002.0,1240.0,124020.0,15058.0,1078.0,162368.0,7033.0,907.0,63776.0,,,,33411.0,527.0,175981.0
계,2017,166957.1287,2357867.0,33600.6824,1623.0,545349.0,10860.5134,2447.0,265757.0,21029.9183,1057.0,222284.0,13107.1092,1452.0,190265.0,21586.9506,2767.0,597294.0,24749.4697,1205.60967,298382.0,9585.8902,1193.0,114330.0,15163.5795,1214.0,184052.0,7324.4875,857.0,62778.0,,,,34697.9976,507.0,175758.0
