"시도별","시점","합계:면적[ha]","생산량[톤]","사과:면적[ha]","10a당 생산량[kg]","생산량[톤]","배:면적[ha]","10a당 생산량[kg]","생산량[톤]","복숭아:면적[ha]","10a당 생산량[kg]","생산량[톤]","포도:면적[ha]","10a당 생산량[kg]","생산량[톤]","감귤:면적[ha]","10a당 생산량[kg]","생산량[톤]","감:면적[ha]","10a당 생산량[kg]","생산량[톤]","단감:면적[ha]","10a당 생산량[kg]","생산량[톤]","떫은감:면적[ha]","10a당 생산량[kg]","생산량[톤]","자두:면적[ha]","10a당 생산량[kg]","생산량[톤]","매실:면적[ha]","10a당 생산량[kg]","생산량[톤]","기타:면적[ha]","10a당 생산량[kg]","생산량[톤]",
"계","1980 년","99093.5","833080","46132.1","889","410046.5","9164","650","59570.1","10359.4","856","88691.9","7653.6","742","56764.4","12205.1","1323","161433.5","6589.6","483","31836.9","","","","","","","","","","","","","6989.7","354","24736.7",
"계","1981 년","100219","1026395","46685","1121","523145","9311","769","71596","10195","870","88740","9186","781","71724","12579","1659","208654","7621","515","39254","","","","","","","2919","612","17859","","","","1723","315","5423",
"계","1982 년","101273","1194373","42740","1233","527141","9713","993","96447","9668","940","90870","11162","849","94809","13632","2045","278784","7783","743","57808","","","","","","","3460","684","23658","","","","3115","798","24857",
"계","1983 년","105469","1399708","41297","1419","586023","9802","1085","106304","10732","924","99199","14165","926","131111","14838","2228","330623","8207","1109","91052","","","","","","","3683","820","30203","","","","2745","918","25193",
"계","1984 년","106927","1228708","39189","1348","528175","9041","1122","101448","11820","831","98174","15514","804","124676","15450","1690","261129","9296","740","68812","","","","","","","3854","744","28660","","","","2763","638","17634",
"계","1985 년","108747","1463811","37698","1413","532571","9022","1420","128079","13138","1001","131544","16206","925","149912","15688","2362","370543","9838","986","97031","","","","","","","4029","832","33505","","","","3128","659","20626",
"계","1986 년","112222","1475217","36443","1476","537737","9017","1498","135069","14456","959","138654","17037","971","165470","16773","2024","339507","10812","915","98906","","","","","","","3992","942","37616","","","","3692","603","22258",
"계","1987 년","113897","1582872","38976","1427","556160","8088","1791","144856","14016","983","137774","16813","941","158158","18161","2428","441019","9863","767","75677","","","","","","","3678","1008","37088","","","","4302","747","32140",
"계","1988 년","119544","1713721","43190","1483","640333","8381","2287","191711","13308","1012","134613","16119","968","156070","18217","2277","414861","11010","893","98337","","","","","","","3294","971","31990","","","","6025","760","45806",
"계","1989 년","126780","2184961","46884","1442","676016","8792","2262","198852","12898","1031","133009","15836","991","156879","18822","3966","746516","12369","917","113403","","","","","","","3255","673","21895","","","","7924","779","61726",
"계","1990 년","133309","1766248","48833","1288","628947","9058","1759","159335","12333","929","114578","14962","878","131324","19287","2554","492676","13581","705","95758","","","","","","","3191","790","25211","","","","12064","982","118419",
"계","1991 년","138833","1764722","50595","1071","542015","9495","1741","165310","11529","1055","121654","14802","1000","147973","20221","2751","556368","15076","728","109722","","","","","","","3024","796","24080","","","","14091","693","97600",
"계","1992 년","147702","2090240","52985","1311","694766","10339","1678","173511","10635","1089","115792","14957","978","146346","22413","3208","718955","17584","882","155111","","","","","","","2933","772","22630","","","","15856","398","63129",
"계","1993 년","155092","1920067","52297","1178","615991","11009","1473","162133","10548","1171","123482","16991","964","163780","22247","2783","619182","19719","589","116070","","","","","","","2877","708","20372","","","","19404","510","99057",
"계","1994 년","161517","1929610","52098","1183","616505","12649","1294","163729","10166","1130","114837","19773","1072","211930","22233","2469","548961","22440","746","167471","","","","","","","2670","778","20764","","","","19488","438","85413",
"계","1995 년","174130","2300065","50103","1429","715982","15752","1132","178321","10241","1266","129640","26030","1216","316443","24348","2525","614801","25009","778","194585","","","","","","","2693","938","25263","","","","19954","627","125030",
"계","1996 년","173304","2207039","43857","1485","651406","18243","1202","219322","10002","1275","127540","27196","1314","357274","25423","2022","514053","27201","775","210766","","","","","","","3053","939","28678","","","","18329","535","98000",
"계","1997 년","176102","2451653","39995","1630","651778","21983","1183","260168","10892","1348","146793","28290","1390","393195","25731","2522","648923","28812","831","239570","","","","","","","3126","1152","36006","","","","17273","435","75220",
"계","1998 년","173234","2120211","34692","1323","459010","24612","1055","259770","12012","1260","151313","29044","1333","387179","24667","1984","489393","30031","868.00639","260671","23514","893","210085","6517","776","50586","3615","1079","39006","","","","14561","490","73869",
"계","1999 년","171327","2336239","31079","1577","490152","25677","1009","259086","12942","1214","157177","29462","1538","453119","24959","2373","592207","30821","888.50135","273845","23907","894","213822","6914","868","60023","4098","1066","43671","","","","12289","517","66982",
"계","2000 년","172790","2428691","29063","1682","488960","26206","1237","324166","13876","1225","170044","29200","1629","475594","26821","2101","563470","31193","922.79358","287847","23816","955","227394","7377","819","60453","4731","1093","51723","","","","11700","572","66887",
"계","2001 년","172137","2481499","26328","1533","403583","25535","1634","417160","14412","1154","166275","26803","1692","453578","26655","2419","644731","30489","886.67388","270338","22807","866","197583","7682","947","72755","5303","1091","57874","","","","16612","409.10185","67960",
"계","2002 년","171259","2516458","26163","1656","433165","25317","1522","386348","15598","1202","187542","26007","1623","422036","26248","2448","642525","29070","967.12418","281143","21124","946","199869","7946","1023","81274","5939","1272","75572","","","","16917","520.93752","88127",
"계","2003 년","167860","2288913","26398","1384","365354","24025","1316","316568","15880","1193","189413","24801","1518","376430","24595","2569","631929","27943","891.84053","249207","19620","831","163004","8323","1036","86203","6452","1200","77438","","","","17766","464.78667","82574",
