 1904≥‚,,,,1189.3
 1905≥‚,13.9,17.9,11,2047.1
 1906≥‚,13,16.8,9.5,1361.5
 1907≥‚,13.5,17.6,9.8,1021.2
 1908≥‚,13.3,17.2,9.7,1416
 1909≥‚,13.4,17.8,9.7,1210.9
 1910≥‚,13,16.7,9.5,1542.8
 1911≥‚,13.4,17.2,10.1,1919.5
 1912≥‚,13.3,17.3,9.6,1323.7
 1913≥‚,12.8,17,8.9,954.5
 1914≥‚,14.2,18,10.8,1635.2
 1915≥‚,13.7,17.5,10.4,1647.4
 1916≥‚,13.9,17.7,10.4,1910.9
 1917≥‚,12.4,16.5,8.8,906
 1918≥‚,12.8,17.5,9.2,1694.4
 1919≥‚,13.5,18.3,9.9,1357.7
 1920≥‚,13.9,18,10.5,1357.2
 1921≥‚,13.3,17.3,9.8,1309.4
 1922≥‚,13.9,18.2,10.3,1122.7
 1923≥‚,13.4,17.7,9.8,1599.5
 1924≥‚,13.3,18,9.4,1182.1
 1925≥‚,13.4,18,9.6,1478
 1926≥‚,13,17.9,9,1744.2
 1927≥‚,13.4,18.4,9.6,1670.8
 1928≥‚,13.5,18.5,9.8,1208.3
 1929≥‚,13.8,18.6,10.1,772.7
 1930≥‚,14.2,18.5,10.7,1691.4
 1931≥‚,13.6,17.9,10.1,1378
 1932≥‚,13.7,18.2,10,857.7
 1933≥‚,13.7,17.9,10.3,1891.6
 1934≥‚,12.9,17.1,9.9,1772.5
 1935≥‚,13.7,17.9,10.8,1473.9
 1936≥‚,12.5,16.8,9.5,1672.3
 1937≥‚,14.1,18.4,11,1157.7
 1938≥‚,13.6,18.2,10.5,1391.1
 1939≥‚,14.1,18.9,10.9,807.6
 1940≥‚,13.8,18.4,10.2,1469.2
 1941≥‚,13.8,18.5,10.4,1391.5
 1942≥‚,13.8,18.6,10.3,1126.6
 1943≥‚,13.8,18.7,10.4,999.7
 1944≥‚,13.7,19,10.2,949.6
 1945≥‚,13.2,18.2,9.7,1279.2
 1946≥‚,14,18.7,10.6,1920.6
 1947≥‚,12.6,17.5,9,1283.1
 1948≥‚,14.3,18.9,10.9,1958.8
 1949≥‚,13.7,18.2,10.4,1236.5
 1950≥‚,14,18.5,10.7,1292.2
 1951≥‚,14.1,18.5,10.9,1062
 1952≥‚,13.6,17.8,10.5,1284.2
 1953≥‚,13.9,18.1,10.8,1440.7
 1954≥‚,14.1,18,11,1755.5
 1955≥‚,14.1,18.3,10.9,1130.3
 1956≥‚,12.8,17,9.6,2024.5
 1957≥‚,13.4,17.7,10.2,1521.9
 1958≥‚,14.2,18.4,10.9,1414.1
 1959≥‚,14.6,18.6,11.3,1306.3
 1960≥‚,14.6,18.7,11.1,1198.6
 1961≥‚,14.8,18.6,11.4,1821.8
 1962≥‚,14,18.1,10.4,1235.4
 1963≥‚,13.2,17.2,10,2143
 1964≥‚,14.6,18.5,11.4,1130.6
 1965≥‚,13.6,18,10.2,1498.4
