 1968≥‚,13.7,17.1,10.8,999.4
 1969≥‚,13.2,16.5,10.2,3609.1
 1970≥‚,13.2,18.1,9,3720.7
 1971≥‚,13.5,18.6,9.2,2268.6
 1972≥‚,13.8,18.5,9.4,4458
 1973≥‚,13.5,18.9,8.6,10061.7
 1974≥‚,12.5,18,7.6,12985.2
 1975≥‚,13.6,18.7,9,12678.1
 1976≥‚,12.5,17.9,7.7,8693.9
 1977≥‚,13.3,18.8,8.3,8410.4
 1978≥‚,13.8,19.6,8.6,9775.3
 1979≥‚,13.4,19.2,8.3,14011.6
 1980≥‚,12.3,17.7,7.5,14178.6
 1981≥‚,12.4,18.2,7.2,10482.7
 1982≥‚,13.2,19.3,8.1,9229.8
 1983≥‚,13.1,18.9,8.2,11296.2
 1984≥‚,12.7,18.6,7.6,11383.5
 1985≥‚,13,18.6,8.3,19170.8
 1986≥‚,12.7,18.5,7.9,11659.3
 1987≥‚,13.2,19.2,8.4,14082.5
 1988≥‚,13.1,19.1,8,7744
 1989≥‚,13.7,19.6,8.9,17235.1
 1990≥‚,14.2,19.7,9.5,14070
 1991≥‚,13.2,18.8,8.4,16347.8
 1992≥‚,13.4,19.1,8.5,10690.2
 1993≥‚,12.7,18.4,7.9,14252.6
 1994≥‚,14.1,20.1,8.7,7949.3
 1995≥‚,12.9,19,7.7,8867.4
 1996≥‚,13.1,19,8,10024.2
 1997≥‚,13.7,19.8,8.5,14143.5
 1998≥‚,14.4,20,9.7,17892
 1999≥‚,13.5,19.2,8.5,20473.1
 2000≥‚,13.5,19.4,8.5,13674.7
 2001≥‚,13.5,19.3,8.6,11185.9
 2002≥‚,13.6,19.3,8.7,17529.7
 2003≥‚,13.5,19.1,9,19009.1
 2004≥‚,14.3,20.5,9.1,14648.2
 2005≥‚,13.4,19.1,8.5,11585.3
 2006≥‚,13.8,19.4,9,14396.9
 2007≥‚,14.3,20,9.5,13695
 2008≥‚,13.9,19.8,8.8,9236.3
 2009≥‚,14.2,20,9.5,16976.9
 2010≥‚,13.8,19.3,9.3,22020.2
 2011≥‚,13.6,19,8.9,23380.3
 2012≥‚,13.3,18.7,8.8,23650.5
 2013≥‚,14,19.8,9,16340.7
 2014≥‚,13.8,19.6,9,22106.2
 2015≥‚,14,19.7,9.3,17325.5
 2016≥‚,14.4,20,9.8,24318.8
 2017≥‚,14.1,20.3,8.9,12269.1
 2018≥‚,13.9,19.8,8.9,23518.2
 2019≥‚,14.4,20.4,9.4,22237.4
 2020≥‚,14.1,19.8,9.4,26410.5
 2021≥‚,14.5,20.4,9.7,20723.9
 2022≥‚,,,,12348.8
 ∆Ú±’,13.5,19.1,8.7,13844.2
