 1907≥‚,,,,126.6
 1908≥‚,10.4,15.7,5.8,1066.3
 1909≥‚,10.6,16,5.8,827
 1910≥‚,10.3,15.9,5.7,1020.9
 1911≥‚,10.6,15.9,6,1067
 1912≥‚,10.1,15.6,5.1,1129.3
 1913≥‚,10,15.6,4.9,917.5
 1914≥‚,12,17,7.7,1262.6
 1915≥‚,10.8,15.8,6.6,1578.3
 1916≥‚,10.9,16.5,6.4,1710.3
 1917≥‚,9.8,15.5,4.8,981.7
 1918≥‚,10.5,16.1,5.6,1132.3
 1919≥‚,11.1,16.8,6,1176.3
 1920≥‚,11.4,16.9,6.3,1674.4
 1921≥‚,10.9,16.4,6.1,971.9
 1922≥‚,10.8,16.3,5.9,1552.8
 1923≥‚,10.6,15.9,5.7,1194.7
 1924≥‚,11,16.6,5.8,1001
 1925≥‚,10.7,15.9,5.8,1934.1
 1926≥‚,10.5,15.6,5.6,1822.5
 1927≥‚,11,16.3,5.9,1269.7
 1928≥‚,11.1,16.6,5.9,1054.3
 1929≥‚,11.4,17.3,6.2,1130.2
 1930≥‚,11.8,17.4,6.6,1626.6
 1931≥‚,10.9,16.7,6.3,1388.3
 1932≥‚,11.6,17.5,7.2,941.2
 1933≥‚,10.5,15.5,6.4,1400.8
 1934≥‚,10.1,15.1,5.8,1244.6
 1935≥‚,11.2,16.7,6.6,1202.3
 1936≥‚,9.8,15.1,5.3,1531.6
 1937≥‚,11.4,16.8,6.9,1062.7
 1938≥‚,10.9,16.3,6.4,1058.8
 1939≥‚,11.7,17.6,6.7,638.7
 1940≥‚,10.8,16.3,6,2145.1
 1941≥‚,11.1,16.8,6.3,1063.7
 1942≥‚,10.9,16.6,5.9,1131
 1943≥‚,11.7,17.8,6.4,642.9
 1944≥‚,10.9,16.6,6,1089.1
 1945≥‚,10.4,16,5.7,1561.7
 1946≥‚,11.3,16.9,6.6,1519.4
 1947≥‚,9.6,14.8,5,1496.4
 1948≥‚,11.7,17.3,6.9,1473.3
 1949≥‚,11.7,17.2,7.4,623.5
 1950≥‚,,,,798.2
 1951≥‚,,,,48.3
 1952≥‚,,,,1073.9
 1953≥‚,,,,1372.2
 1954≥‚,11.4,16.6,7.1,1385.8
 1955≥‚,11.5,16.7,7.1,1230.7
 1956≥‚,10.1,15,5.8,1701.1
 1957≥‚,10.4,15.7,6.1,1220.3
 1958≥‚,11.6,16.7,7.3,1325.4
 1959≥‚,12,17,7.9,1370.8
 1960≥‚,12.1,17,7.8,1188.4
 1961≥‚,12.4,17.2,8.1,1436.6
 1962≥‚,11.7,16.5,7.3,986.2
 1963≥‚,11.3,16,7.2,1626.6
 1964≥‚,12.2,16.7,8.4,1794
 1965≥‚,11.4,16.4,7,1216.3
 1966≥‚,11.5,16.3,7.4,2018.9
 1967≥‚,11.6,16.5,7.7,1248.8
 1968≥‚,11.8,16.8,7.6,1288.2
 1969≥‚,10.9,15.4,7,1736.8
 1970≥‚,11.4,16.1,7.5,1708.2
 1971≥‚,11.5,16.1,7.8,1359.7
 1972≥‚,11.9,16.5,8,1769.6
 1973≥‚,12,16.8,8.2,928.1
 1974≥‚,11.1,15.9,7.2,1250.7
 1975≥‚,12.5,17.4,8.6,1067.4
 1976≥‚,11.5,16.4,7.4,1109.5
 1977≥‚,12.3,17.3,8.1,1147.5
 1978≥‚,12.4,17.2,8.4,1160.9
 1979≥‚,12.5,17.2,8.6,1279.4
 1980≥‚,10.8,15.7,6.8,1242.4
 1981≥‚,11.2,15.8,7.2,1216.2
 1982≥‚,12.5,17.4,8.3,949.3
 1983≥‚,12.4,16.9,8.3,1205.1
 1984≥‚,11.6,16.5,7.6,1249.5
 1985≥‚,11.6,16.2,7.7,1544.6
 1986≥‚,11.2,15.7,7.4,1247.4
 1987≥‚,11.9,16.4,7.9,1751.4
 1988≥‚,12.1,16.8,8,760.8
 1989≥‚,13,17.5,9,1437.1
 1990≥‚,12.8,17.1,9,2355.5
 1991≥‚,12.3,17,8.2,1158.2
 1992≥‚,12.5,16.9,8.5,1454.9
 1993≥‚,12,16.7,8.1,1292.7
 1994≥‚,13.5,18.3,9.5,1055.8
 1995≥‚,12.2,16.7,8.2,1598.6
 1996≥‚,12.2,16.8,8.3,1256.6
 1997≥‚,12.9,17.7,8.7,1210.2
 1998≥‚,13.8,18.4,9.8,2349.1
 1999≥‚,13.2,17.8,9,1733.1
 2000≥‚,12.7,17.1,8.6,1186.8
 2001≥‚,12.8,17.3,8.9,1386
 2002≥‚,12.9,17.2,9.1,1388
 2003≥‚,12.8,17,9.2,2012
 2004≥‚,13.3,17.7,9.5,1499.1
 2005≥‚,12.1,16.4,8.4,1358.4
 2006≥‚,13,17.2,9.3,1681.9
 2007≥‚,13.3,17.5,9.7,1212.3
 2008≥‚,12.9,17.3,9.1,1356.3
 2009≥‚,12.9,17.2,9.1,1564
 2010≥‚,12.1,16.3,8.5,2043.5
 2011≥‚,12,16.4,8.4,2039.3
 2012≥‚,12.2,16.7,8.5,1646.3
 2013≥‚,12.5,16.9,8.7,1403.8
 2014≥‚,13.4,18.3,9.3,808.9
 2015≥‚,13.6,18.7,9.3,792.1
 2016≥‚,13.6,18.5,9.4,991.7
 2017≥‚,13,18.1,8.8,1233.2
 2018≥‚,12.9,17.9,8.8,1284.1
 2019≥‚,13.5,18.5,9.3,891.3
 2020≥‚,13.2,17.9,9.4,1651.1
 2021≥‚,13.7,18.5,9.6,1186.5
 2022≥‚,,,,1677.2
 ∆Ú±’,11.7,16.7,7.4,1307.4
