,지역,연도,연합계
0,강원도,1973,4.6
1,강원도,1974,1.2
2,강원도,1975,2.6999999999999997
3,강원도,1976,1.3
4,강원도,1977,3.0
5,강원도,1978,3.85
6,강원도,1979,2.15
7,강원도,1980,0.15
8,강원도,1981,1.9
9,강원도,1982,1.15
10,강원도,1983,3.7
11,강원도,1984,2.75
12,강원도,1985,2.45
13,강원도,1986,0.75
14,강원도,1987,0.4
15,강원도,1988,0.15
16,강원도,1989,0.8500000000000001
17,강원도,1990,1.1
18,강원도,1991,1.3499999999999999
19,강원도,1992,3.95
20,강원도,1993,0.0
21,강원도,1994,8.0
22,강원도,1995,5.0
23,강원도,1996,1.8499999999999999
24,강원도,1997,3.35
25,강원도,1998,1.3
26,강원도,1999,1.95
27,강원도,2000,3.15
28,강원도,2001,1.45
29,강원도,2002,2.35
30,강원도,2003,0.25
31,강원도,2004,2.8499999999999996
32,강원도,2005,4.6
33,강원도,2006,2.65
34,강원도,2007,3.35
35,강원도,2008,3.95
36,강원도,2009,1.05
37,강원도,2010,7.65
38,강원도,2011,1.95
39,강원도,2012,3.6
40,강원도,2013,7.6
41,강원도,2014,2.5
42,강원도,2015,4.25
43,강원도,2016,5.5
44,강원도,2017,4.85
45,강원도,2018,10.65
46,강원도,2019,7.2
47,강원도,2020,4.2
48,강원도,2021,3.35
49,강원도,2022,7.9
