,지역,연합계,연도
0,경남,9.5,1973
1,경남,1.6,1974
2,경남,7.2,1975
3,경남,3.1,1976
4,경남,3.4,1977
5,경남,11.5,1978
6,경남,5.8,1979
7,경남,0.8,1980
8,경남,7.6,1981
9,경남,3.4,1982
10,경남,7.1,1983
11,경남,9.0,1984
12,경남,11.4,1985
13,경남,4.7,1986
14,경남,4.1,1987
15,경남,3.5,1988
16,경남,3.5,1989
17,경남,14.9,1990
18,경남,5.8,1991
19,경남,7.2,1992
20,경남,0.3,1993
21,경남,22.7,1994
22,경남,11.8,1995
23,경남,8.1,1996
24,경남,5.2,1997
25,경남,9.5,1998
26,경남,2.7,1999
27,경남,6.8,2000
28,경남,11.1,2001
29,경남,4.3,2002
30,경남,3.5,2003
31,경남,6.7,2004
32,경남,4.1,2005
33,경남,7.3,2006
34,경남,10.4,2007
35,경남,10.0,2008
36,경남,4.3,2009
37,경남,14.6,2010
38,경남,8.6,2011
39,경남,11.5,2012
40,경남,18.3,2013
41,경남,4.5,2014
42,경남,5.5,2015
43,경남,13.8,2016
44,경남,14.2,2017
45,경남,19.5,2018
46,경남,12.3,2019
47,경남,8.6,2020
48,경남,7.5,2021
49,경남,16.7,2022
