,지역,연합계,연도
0,경북,5.3,1973
1,경북,1.1,1974
2,경북,3.8,1975
3,경북,1.8,1976
4,경북,2.7,1977
5,경북,6.9,1978
6,경북,3.4,1979
7,경북,0.0,1980
8,경북,4.5,1981
9,경북,2.1,1982
10,경북,5.5,1983
11,경북,5.2,1984
12,경북,3.6,1985
13,경북,1.0,1986
14,경북,1.4,1987
15,경북,1.3,1988
16,경북,1.5,1989
17,경북,4.7,1990
18,경북,2.4,1991
19,경북,4.7,1992
20,경북,0.5,1993
21,경북,13.7,1994
22,경북,8.5,1995
23,경북,4.1,1996
24,경북,3.5,1997
25,경북,3.5,1998
26,경북,1.4,1999
27,경북,4.1,2000
28,경북,5.5,2001
29,경북,3.4,2002
30,경북,1.0,2003
31,경북,3.6,2004
32,경북,6.3,2005
33,경북,4.4,2006
34,경북,4.6,2007
35,경북,5.5,2008
36,경북,0.8,2009
37,경북,10.0,2010
38,경북,4.6,2011
39,경북,7.5,2012
40,경북,12.0,2013
41,경북,3.5,2014
42,경북,3.6,2015
43,경북,5.8,2016
44,경북,7.2,2017
45,경북,13.5,2018
46,경북,9.6,2019
47,경북,4.7,2020
48,경북,3.1,2021
49,경북,9.8,2022
