,지역,연합계,연도
0,서울경기,4.7,1973
1,서울경기,0.7,1974
2,서울경기,3.7,1975
3,서울경기,0.5,1976
4,서울경기,2.5,1977
5,서울경기,7.0,1978
6,서울경기,2.3,1979
7,서울경기,0.0,1980
8,서울경기,3.7,1981
9,서울경기,1.3,1982
10,서울경기,4.0,1983
11,서울경기,4.2,1984
12,서울경기,3.8,1985
13,서울경기,0.5,1986
14,서울경기,0.0,1987
15,서울경기,2.3,1988
16,서울경기,1.8,1989
17,서울경기,1.8,1990
18,서울경기,0.7,1991
19,서울경기,1.0,1992
20,서울경기,0.0,1993
21,서울경기,22.5,1994
22,서울경기,8.2,1995
23,서울경기,6.5,1996
24,서울경기,8.8,1997
25,서울경기,1.3,1998
26,서울경기,3.3,1999
27,서울경기,5.7,2000
28,서울경기,4.2,2001
29,서울경기,2.7,2002
30,서울경기,0.3,2003
31,서울경기,3.8,2004
32,서울경기,4.2,2005
33,서울경기,3.5,2006
34,서울경기,5.8,2007
35,서울경기,4.2,2008
36,서울경기,2.0,2009
37,서울경기,10.2,2010
38,서울경기,2.2,2011
39,서울경기,11.7,2012
40,서울경기,12.2,2013
41,서울경기,2.3,2014
42,서울경기,5.7,2015
43,서울경기,18.3,2016
44,서울경기,10.8,2017
45,서울경기,21.0,2018
46,서울경기,10.7,2019
47,서울경기,5.7,2020
48,서울경기,9.8,2021
49,서울경기,14.3,2022
