,지역,연합계,연도
1,전국,6.2,1973
2,전국,1.3,1974
3,전국,5.5,1975
4,전국,2.4,1976
5,전국,3.0,1977
6,전국,8.1,1978
7,전국,3.6,1979
8,전국,0.5,1980
9,전국,4.8,1981
10,전국,2.1,1982
11,전국,5.7,1983
12,전국,5.6,1984
13,전국,4.9,1985
14,전국,1.9,1986
15,전국,1.8,1987
16,전국,2.7,1988
17,전국,2.2,1989
18,전국,6.5,1990
19,전국,3.6,1991
20,전국,4.9,1992
21,전국,0.2,1993
22,전국,16.8,1994
23,전국,8.6,1995
24,전국,5.8,1996
25,전국,5.3,1997
26,전국,5.8,1998
27,전국,2.3,1999
28,전국,4.2,2000
29,전국,6.0,2001
30,전국,3.3,2002
31,전국,1.5,2003
32,전국,4.3,2004
33,전국,4.8,2005
34,전국,5.1,2006
35,전국,6.1,2007
36,전국,6.1,2008
37,전국,2.5,2009
38,전국,11.5,2010
39,전국,5.6,2011
40,전국,9.1,2012
41,전국,14.0,2013
42,전국,3.0,2014
43,전국,4.2,2015
44,전국,10.0,2016
45,전국,10.1,2017
46,전국,16.6,2018
47,전국,10.2,2019
48,전국,7.4,2020
49,전국,5.5,2021
50,전국,13.2,2022
