,지역,연합계,연도
0,전남,12.7,1973
1,전남,2.6,1974
2,전남,14.3,1975
3,전남,5.6,1976
4,전남,6.3,1977
5,전남,17.3,1978
6,전남,7.1,1979
7,전남,1.3,1980
8,전남,10.3,1981
9,전남,3.6,1982
10,전남,9.0,1983
11,전남,13.7,1984
12,전남,9.0,1985
13,전남,4.0,1986
14,전남,3.4,1987
15,전남,6.6,1988
16,전남,6.3,1989
17,전남,13.3,1990
18,전남,7.9,1991
19,전남,7.9,1992
20,전남,0.1,1993
21,전남,24.9,1994
22,전남,13.6,1995
23,전남,11.4,1996
24,전남,8.6,1997
25,전남,14.7,1998
26,전남,3.6,1999
27,전남,5.3,2000
28,전남,8.1,2001
29,전남,3.7,2002
30,전남,2.7,2003
31,전남,7.3,2004
32,전남,8.3,2005
33,전남,10.7,2006
34,전남,10.7,2007
35,전남,12.4,2008
36,전남,6.0,2009
37,전남,19.3,2010
38,전남,12.9,2011
39,전남,17.7,2012
40,전남,23.7,2013
41,전남,3.6,2014
42,전남,5.9,2015
43,전남,15.4,2016
44,전남,18.4,2017
45,전남,25.7,2018
46,전남,14.9,2019
47,전남,16.9,2020
48,전남,11.3,2021
49,전남,22.6,2022
