,지역,연합계,연도
0,전북,3.9,1973
1,전북,0.6,1974
2,전북,6.0,1975
3,전북,2.7,1976
4,전북,3.0,1977
5,전북,8.9,1978
6,전북,2.6,1979
7,전북,1.4,1980
8,전북,3.7,1981
9,전북,2.4,1982
10,전북,6.1,1983
11,전북,4.6,1984
12,전북,2.7,1985
13,전북,1.9,1986
14,전북,1.6,1987
15,전북,4.7,1988
16,전북,2.0,1989
17,전북,6.6,1990
18,전북,5.4,1991
19,전북,4.6,1992
20,전북,0.1,1993
21,전북,15.3,1994
22,전북,8.0,1995
23,전북,5.4,1996
24,전북,4.4,1997
25,전북,7.3,1998
26,전북,2.1,1999
27,전북,2.0,2000
28,전북,6.6,2001
29,전북,4.3,2002
30,전북,1.6,2003
31,전북,3.9,2004
32,전북,4.4,2005
33,전북,7.0,2006
34,전북,5.9,2007
35,전북,4.7,2008
36,전북,3.0,2009
37,전북,11.1,2010
38,전북,6.1,2011
39,전북,8.3,2012
40,전북,14.9,2013
41,전북,2.7,2014
42,전북,3.0,2015
43,전북,8.1,2016
44,전북,10.3,2017
45,전북,14.0,2018
46,전북,9.6,2019
47,전북,7.7,2020
48,전북,2.1,2021
49,전북,13.9,2022
