,지역,연합계,연도
0,제주,12.3,1973
1,제주,5.5,1974
2,제주,19.0,1975
3,제주,8.8,1976
4,제주,10.0,1977
5,제주,20.3,1978
6,제주,10.3,1979
7,제주,4.8,1980
8,제주,19.0,1981
9,제주,7.5,1982
10,제주,15.5,1983
11,제주,19.8,1984
12,제주,17.0,1985
13,제주,7.8,1986
14,제주,8.3,1987
15,제주,16.5,1988
16,제주,14.8,1989
17,제주,35.8,1990
18,제주,15.3,1991
19,제주,20.8,1992
20,제주,3.3,1993
21,제주,33.5,1994
22,제주,32.0,1995
23,제주,23.8,1996
24,제주,20.0,1997
25,제주,31.0,1998
26,제주,8.3,1999
27,제주,28.3,2000
28,제주,24.5,2001
29,제주,7.8,2002
30,제주,22.0,2003
31,제주,31.8,2004
32,제주,27.8,2005
33,제주,23.5,2006
34,제주,26.8,2007
35,제주,23.0,2008
36,제주,13.8,2009
37,제주,41.8,2010
38,제주,25.3,2011
39,제주,32.5,2012
40,제주,44.5,2013
41,제주,7.5,2014
42,제주,12.5,2015
43,제주,36.5,2016
44,제주,41.5,2017
45,제주,37.8,2018
46,제주,24.8,2019
47,제주,31.5,2020
48,제주,36.0,2021
49,제주,42.5,2022
