,지역,연합계,연도
0,충남,3.7,1973
1,충남,1.0,1974
2,충남,4.3,1975
3,충남,3.2,1976
4,충남,1.8,1977
5,충남,5.8,1978
6,충남,3.0,1979
7,충남,0.7,1980
8,충남,2.5,1981
9,충남,1.3,1982
10,충남,4.2,1983
11,충남,2.0,1984
12,충남,1.0,1985
13,충남,0.7,1986
14,충남,1.7,1987
15,충남,3.0,1988
16,충남,1.0,1989
17,충남,4.0,1990
18,충남,3.8,1991
19,충남,4.3,1992
20,충남,0.0,1993
21,충남,19.7,1994
22,충남,8.8,1995
23,충남,6.0,1996
24,충남,7.3,1997
25,충남,5.0,1998
26,충남,2.0,1999
27,충남,3.8,2000
28,충남,7.3,2001
29,충남,3.8,2002
30,충남,1.5,2003
31,충남,2.8,2004
32,충남,3.5,2005
33,충남,2.2,2006
34,충남,3.7,2007
35,충남,2.3,2008
36,충남,1.7,2009
37,충남,10.3,2010
38,충남,5.0,2011
39,충남,8.8,2012
40,충남,15.0,2013
41,충남,2.2,2014
42,충남,3.0,2015
43,충남,8.2,2016
44,충남,8.8,2017
45,충남,17.2,2018
46,충남,10.0,2019
47,충남,8.0,2020
48,충남,3.3,2021
49,충남,12.7,2022
