,지역,연합계,연도
0,충북,3.0,1973
1,충북,1.2,1974
2,충북,1.6,1975
3,충북,0.2,1976
4,충북,0.6,1977
5,충북,1.2,1978
6,충북,1.0,1979
7,충북,0.0,1980
8,충북,2.4,1981
9,충북,0.6,1982
10,충북,5.0,1983
11,충북,1.2,1984
12,충북,1.8,1985
13,충북,0.0,1986
14,충북,0.6,1987
15,충북,0.4,1988
16,충북,0.2,1989
17,충북,1.2,1990
18,충북,0.8,1991
19,충북,3.4,1992
20,충북,0.0,1993
21,충북,7.6,1994
22,충북,3.2,1995
23,충북,3.2,1996
24,충북,3.0,1997
25,충북,3.0,1998
26,충북,1.8,1999
27,충북,1.6,2000
28,충북,1.6,2001
29,충북,1.0,2002
30,충북,0.0,2003
31,충북,1.6,2004
32,충북,1.6,2005
33,충북,1.2,2006
34,충북,2.8,2007
35,충북,2.6,2008
36,충북,0.8,2009
37,충북,7.2,2010
38,충북,2.2,2011
39,충북,3.8,2012
40,충북,7.6,2013
41,충북,1.4,2014
42,충북,1.8,2015
43,충북,6.0,2016
44,충북,5.4,2017
45,충북,12.2,2018
46,충북,6.6,2019
47,충북,4.6,2020
48,충북,3.8,2021
49,충북,8.0,2022
