,연도,월,평균열대야일수
0,1973,1월,0.0
1,1974,1월,0.0
2,1975,1월,0.0
3,1976,1월,0.0
4,1977,1월,0.0
5,1978,1월,0.0
6,1979,1월,0.0
7,1980,1월,0.0
8,1981,1월,0.0
9,1982,1월,0.0
10,1983,1월,0.0
11,1984,1월,0.0
12,1985,1월,0.0
13,1986,1월,0.0
14,1987,1월,0.0
15,1988,1월,0.0
16,1989,1월,0.0
17,1990,1월,0.0
18,1991,1월,0.0
19,1992,1월,0.0
20,1993,1월,0.0
21,1994,1월,0.0
22,1995,1월,0.0
23,1996,1월,0.0
24,1997,1월,0.0
25,1998,1월,0.0
26,1999,1월,0.0
27,2000,1월,0.0
28,2001,1월,0.0
29,2002,1월,0.0
30,2003,1월,0.0
31,2004,1월,0.0
32,2005,1월,0.0
33,2006,1월,0.0
34,2007,1월,0.0
35,2008,1월,0.0
36,2009,1월,0.0
37,2010,1월,0.0
38,2011,1월,0.0
39,2012,1월,0.0
40,2013,1월,0.0
41,2014,1월,0.0
42,2015,1월,0.0
43,2016,1월,0.0
44,2017,1월,0.0
45,2018,1월,0.0
46,2019,1월,0.0
47,2020,1월,0.0
48,2021,1월,0.0
49,2022,1월,0.0
50,1973,2월,0.0
51,1974,2월,0.0
52,1975,2월,0.0
53,1976,2월,0.0
54,1977,2월,0.0
55,1978,2월,0.0
56,1979,2월,0.0
57,1980,2월,0.0
58,1981,2월,0.0
59,1982,2월,0.0
60,1983,2월,0.0
61,1984,2월,0.0
62,1985,2월,0.0
63,1986,2월,0.0
64,1987,2월,0.0
65,1988,2월,0.0
66,1989,2월,0.0
67,1990,2월,0.0
68,1991,2월,0.0
69,1992,2월,0.0
70,1993,2월,0.0
71,1994,2월,0.0
72,1995,2월,0.0
73,1996,2월,0.0
74,1997,2월,0.0
75,1998,2월,0.0
76,1999,2월,0.0
77,2000,2월,0.0
78,2001,2월,0.0
79,2002,2월,0.0
80,2003,2월,0.0
81,2004,2월,0.0
82,2005,2월,0.0
83,2006,2월,0.0
84,2007,2월,0.0
85,2008,2월,0.0
86,2009,2월,0.0
87,2010,2월,0.0
88,2011,2월,0.0
89,2012,2월,0.0
90,2013,2월,0.0
91,2014,2월,0.0
92,2015,2월,0.0
93,2016,2월,0.0
94,2017,2월,0.0
95,2018,2월,0.0
96,2019,2월,0.0
97,2020,2월,0.0
98,2021,2월,0.0
99,2022,2월,0.0
100,1973,3월,0.0
101,1974,3월,0.0
102,1975,3월,0.0
103,1976,3월,0.0
104,1977,3월,0.0
105,1978,3월,0.0
106,1979,3월,0.0
107,1980,3월,0.0
108,1981,3월,0.0
109,1982,3월,0.0
110,1983,3월,0.0
111,1984,3월,0.0
112,1985,3월,0.0
113,1986,3월,0.0
114,1987,3월,0.0
115,1988,3월,0.0
116,1989,3월,0.0
117,1990,3월,0.0
118,1991,3월,0.0
119,1992,3월,0.0
120,1993,3월,0.0
121,1994,3월,0.0
122,1995,3월,0.0
123,1996,3월,0.0
124,1997,3월,0.0
125,1998,3월,0.0
126,1999,3월,0.0
127,2000,3월,0.0
128,2001,3월,0.0
129,2002,3월,0.0
130,2003,3월,0.0
131,2004,3월,0.0
132,2005,3월,0.0
133,2006,3월,0.0
134,2007,3월,0.0
135,2008,3월,0.0
136,2009,3월,0.0
137,2010,3월,0.0
138,2011,3월,0.0
139,2012,3월,0.0
140,2013,3월,0.0
141,2014,3월,0.0
142,2015,3월,0.0
143,2016,3월,0.0
144,2017,3월,0.0
145,2018,3월,0.0
146,2019,3월,0.0
147,2020,3월,0.0
148,2021,3월,0.0
149,2022,3월,0.0
150,1973,4월,0.0
151,1974,4월,0.0
152,1975,4월,0.0
153,1976,4월,0.0
154,1977,4월,0.0
155,1978,4월,0.0
156,1979,4월,0.0
157,1980,4월,0.0
158,1981,4월,0.0
159,1982,4월,0.0
160,1983,4월,0.0
161,1984,4월,0.0
162,1985,4월,0.0
163,1986,4월,0.0
164,1987,4월,0.0
165,1988,4월,0.0
166,1989,4월,0.0
167,1990,4월,0.0
168,1991,4월,0.0
169,1992,4월,0.0
170,1993,4월,0.0
171,1994,4월,0.0
172,1995,4월,0.0
173,1996,4월,0.0
174,1997,4월,0.0
175,1998,4월,0.0
176,1999,4월,0.0
177,2000,4월,0.0
178,2001,4월,0.0
179,2002,4월,0.0
180,2003,4월,0.0
181,2004,4월,0.0
182,2005,4월,0.0
183,2006,4월,0.0
184,2007,4월,0.0
185,2008,4월,0.0
186,2009,4월,0.0
187,2010,4월,0.0
188,2011,4월,0.0
189,2012,4월,0.0
190,2013,4월,0.0
191,2014,4월,0.0
192,2015,4월,0.0
193,2016,4월,0.0
194,2017,4월,0.0
195,2018,4월,0.0
196,2019,4월,0.0
197,2020,4월,0.0
198,2021,4월,0.0
199,2022,4월,0.0
200,1973,5월,0.0
201,1974,5월,0.0
202,1975,5월,0.0
203,1976,5월,0.0
204,1977,5월,0.0
205,1978,5월,0.0
206,1979,5월,0.0
207,1980,5월,0.0
208,1981,5월,0.0
209,1982,5월,0.0
210,1983,5월,0.0
211,1984,5월,0.0
212,1985,5월,0.0
213,1986,5월,0.0
214,1987,5월,0.0
215,1988,5월,0.0
216,1989,5월,0.0
217,1990,5월,0.0
218,1991,5월,0.0
219,1992,5월,0.0
220,1993,5월,0.0
221,1994,5월,0.0
222,1995,5월,0.0
223,1996,5월,0.0
224,1997,5월,0.0
225,1998,5월,0.0
226,1999,5월,0.0
227,2000,5월,0.0
228,2001,5월,0.0
229,2002,5월,0.0
230,2003,5월,0.0
231,2004,5월,0.0
232,2005,5월,0.0
233,2006,5월,0.0
234,2007,5월,0.0
235,2008,5월,0.0
236,2009,5월,0.0
237,2010,5월,0.0
238,2011,5월,0.0
239,2012,5월,0.0
240,2013,5월,0.0
241,2014,5월,0.0
242,2015,5월,0.0
243,2016,5월,0.0
244,2017,5월,0.0
245,2018,5월,0.0
246,2019,5월,0.0
247,2020,5월,0.0
248,2021,5월,0.0
249,2022,5월,0.0
250,1973,6월,0.0
251,1974,6월,0.0
252,1975,6월,0.0
253,1976,6월,0.0
254,1977,6월,0.0
255,1978,6월,0.0
256,1979,6월,0.0
257,1980,6월,0.0
258,1981,6월,0.0
259,1982,6월,0.0
260,1983,6월,0.0
261,1984,6월,0.0
262,1985,6월,0.0
263,1986,6월,0.0
264,1987,6월,0.0
265,1988,6월,0.0
266,1989,6월,0.0
267,1990,6월,0.2
268,1991,6월,0.0
269,1992,6월,0.0
270,1993,6월,0.0
271,1994,6월,0.3
272,1995,6월,0.0
273,1996,6월,0.0
274,1997,6월,0.0
275,1998,6월,0.0
276,1999,6월,0.0
277,2000,6월,0.0
278,2001,6월,0.0
279,2002,6월,0.0
280,2003,6월,0.0
281,2004,6월,0.0
282,2005,6월,0.2
283,2006,6월,0.0
284,2007,6월,0.0
285,2008,6월,0.0
286,2009,6월,0.0
287,2010,6월,0.0
288,2011,6월,0.0
289,2012,6월,0.0
290,2013,6월,0.0
291,2014,6월,0.0
292,2015,6월,0.0
293,2016,6월,0.0
294,2017,6월,0.0
295,2018,6월,0.0
296,2019,6월,0.0
297,2020,6월,0.0
298,2021,6월,0.0
299,2022,6월,1.3
300,1973,7월,2.7
301,1974,7월,0.0
302,1975,7월,2.7
303,1976,7월,0.0
304,1977,7월,0.8
305,1978,7월,3.8
306,1979,7월,1.2
307,1980,7월,0.7
308,1981,7월,1.7
309,1982,7월,0.0
310,1983,7월,2.5
311,1984,7월,1.3
312,1985,7월,0.3
313,1986,7월,0.3
314,1987,7월,0.8
315,1988,7월,2.7
316,1989,7월,0.5
317,1990,7월,2.2
318,1991,7월,3.8
319,1992,7월,3.5
320,1993,7월,0.0
321,1994,7월,11.5
322,1995,7월,3.3
323,1996,7월,2.8
324,1997,7월,2.8
325,1998,7월,1.8
326,1999,7월,1.3
327,2000,7월,2.5
328,2001,7월,5.0
329,2002,7월,2.2
330,2003,7월,0.0
