
¿­´ë¾ßÀÏ¼ö
ÁöÁ¡/Áö¿ª¸í : °­¿ø¿µµ¿

Æò±Õ ¿­´ë¾ßÀÏ¼ö
¿¬µµ,1¿ù,2¿ù,3¿ù,4¿ù,5¿ù,6¿ù,7¿ù,8¿ù,9¿ù,10¿ù,11¿ù,12¿ù,¿¬ÇÕ°è,¼øÀ§
Æò³â,0,0,0,0,0,0,2.8,3.6,0.1,0,0,0,6.5
1973,0.0,0.0,0.0,0.0,0.0,0.0,2.5,4.5,0.0,0.0,0.0,0.0,7.0,8
1974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,1.8,41
1975,0.0,0.0,0.0,0.0,0.0,0.0,2.8,2.0,0.0,0.0,0.0,0.0,4.8,22
1976,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.3,0.0,0.0,0.0,0.0,2.0,40
1977,0.0,0.0,0.0,0.0,0.0,0.0,3.5,1.3,0.0,0.0,0.0,0.0,4.8,21
1978,0.0,0.0,0.0,0.0,0.0,0.0,2.5,3.0,0.0,0.0,0.0,0.0,5.5,16
1979,0.0,0.0,0.0,0.0,0.0,0.5,2.0,1.0,0.0,0.0,0.0,0.0,3.5,32
1980,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.3,49
1981,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.5,0.0,0.0,0.0,0.0,3.0,34
1982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,1.5,43
1983,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,0.0,0.0,0.0,0.0,5.0,20
1984,0.0,0.0,0.0,0.0,0.0,0.0,0.8,4.8,0.0,0.0,0.0,0.0,5.5,15
1985,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.5,0.0,0.0,0.0,0.0,4.5,26
1986,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,1.5,42
1987,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3,0.0,0.0,0.0,0.0,0.8,46
1988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.3,48
1989,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3,0.0,0.0,0.0,0.0,1.3,45
1990,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.3,0.0,0.0,0.0,0.0,2.0,39
1991,0.0,0.0,0.0,0.0,0.0,0.5,1.8,0.0,0.0,0.0,0.0,0.0,2.3,37
1992,0.0,0.0,0.0,0.0,0.0,0.0,5.3,0.0,0.3,0.0,0.0,0.0,5.5,14
1993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50
1994,0.0,0.0,0.0,0.0,0.0,0.0,5.3,4.5,0.3,0.0,0.0,0.0,10.0,2
1995,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.5,0.3,0.0,0.0,0.0,7.8,7
1996,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.5,0.0,0.0,0.0,0.0,3.3,33
1997,0.0,0.0,0.0,0.0,0.0,0.3,1.8,2.5,0.0,0.0,0.0,0.0,4.5,25
1998,0.0,0.0,0.0,0.0,0.0,0.3,1.0,0.8,0.0,0.0,0.0,0.0,2.0,38
1999,0.0,0.0,0.0,0.0,0.0,0.3,2.0,0.0,0.3,0.0,0.0,0.0,2.5,35
2000,0.0,0.0,0.0,0.0,0.0,0.3,3.8,1.0,0.5,0.0,0.0,0.0,5.5,13
2001,0.0,0.0,0.0,0.0,0.0,0.3,1.8,0.3,0.0,0.0,0.0,0.0,2.3,36
2002,0.0,0.0,0.0,0.0,0.0,0.5,1.3,1.8,0.0,0.0,0.0,0.0,3.5,31
2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,47
2004,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.8,0.0,0.0,0.0,0.0,4.3,28
2005,0.0,0.0,0.0,0.0,0.0,0.5,2.5,3.8,0.0,0.0,0.0,0.0,6.8,9
2006,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.5,0.0,0.0,0.0,0.0,4.5,24
2007,0.0,0.0,0.0,0.0,0.0,0.0,1.8,3.8,0.0,0.0,0.0,0.0,5.5,12
2008,0.0,0.0,0.0,0.0,0.0,0.0,4.5,1.8,0.0,0.0,0.0,0.0,6.3,10
2009,0.0,0.0,0.0,0.0,0.0,0.8,0.3,0.3,0.0,0.0,0.0,0.0,1.3,44
2010,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.3,0.0,0.0,0.0,0.0,8.3,6
2011,0.0,0.0,0.0,0.0,0.0,0.5,0.0,3.0,0.0,0.0,0.0,0.0,3.5,30
2012,0.0,0.0,0.0,0.0,0.0,0.0,3.5,1.5,0.0,0.0,0.0,0.0,5.0,19
2013,0.0,0.0,0.0,0.0,0.0,0.0,3.8,7.3,0.0,0.0,0.0,0.0,11.0,1
2014,0.0,0.0,0.0,0.0,0.5,0.0,2.8,0.8,0.0,0.0,0.0,0.0,4.0,29
2015,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.3,0.0,0.0,0.0,0.0,4.3,27
2016,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,5.0,18
2017,0.0,0.0,0.0,0.0,0.0,0.3,4.0,1.0,0.0,0.0,0.0,0.0,5.3,17
2018,0.0,0.0,0.0,0.0,0.0,0.5,6.3,2.8,0.0,0.0,0.0,0.0,9.5,3
2019,0.0,0.0,0.0,0.0,0.5,0.0,4.5,3.3,0.5,0.0,0.0,0.0,8.8,5
2020,0.0,0.0,0.0,0.0,0.0,0.3,0.5,5.0,0.0,0.0,0.0,0.0,5.8,11
2021,0.0,0.0,0.0,0.0,0.0,0.0,2.3,2.3,0.0,0.0,0.0,0.0,4.5,23
2022,0.0,0.0,0.0,0.0,0.0,1.5,2.5,4.8,0.0,0.0,0.0,0.0,8.8,4


°¡Àå ±ä ¿­´ë¾ß
¿¬µµ,ÁöÁ¡,½ÃÀÛÀÏ,Á¾·áÀÏ,Áö¼ÓÀÏ¼ö
1973,¼ÓÃÊ,1973-08-04,1973-08-08,5
1974,°­¸ª,1974-08-03,1974-08-05,3
1975,°­¸ª,1975-08-03,1975-08-04,2
1976,°­¸ª¡¤¼ÓÃÊ,1976-07-30,1976-07-31,2
1977,°­¸ª,1977-07-27,1977-08-03,8
1978,¼ÓÃÊ,1978-07-23,1978-07-26,4
1979,»ïÃ´,1979-07-29,1979-08-01,4
1980,¼ÓÃÊ,1980-06-05,1980-06-05,1
1981,°­¸ª,1981-07-15,1981-07-21,7
1982,°­¸ª,1982-08-06,1982-08-09,4
1983,°­¸ª¡¤¼ÓÃÊ,1983-08-02,1983-08-06,5
1984,°­¸ª¡¤¼ÓÃÊ,1984-08-08,1984-08-11,4
1985,°­¸ª,1985-08-05,1985-08-08,4
1986,°­¸ª,1986-07-29,1986-07-31,3
1987,°­¸ª,1987-08-28,1987-08-28,1
1988,°­¸ª,1988-08-02,1988-08-02,1
1989,°­¸ª,1989-07-21,1989-07-23,3
1990,°­¸ª,1990-07-31,1990-08-01,2
1991,°­¸ª¡¤»ïÃ´,1991-07-22,1991-07-23,2
1992,¼ÓÃÊ,1992-07-24,1992-07-30,7
1993,,,,
1994,°­¸ª,1994-08-02,1994-08-08,7
1995,°­¸ª,1995-07-27,1995-08-01,6
1996,°­¸ª,1996-07-28,1996-07-30,3
1997,°­¸ª,1997-08-28,1997-08-31,4
1998,°­¸ª,1998-08-11,1998-08-12,2
1999,°­¸ª,1999-07-23,1999-07-25,3
2000,°­¸ª,2000-07-11,2000-07-20,10
2001,°­¸ª,2001-07-02,2001-07-04,3
2002,°­¸ª,2002-07-29,2002-08-04,7
2003,°­¸ª,2003-08-21,2003-08-22,2
2004,°­¸ª,2004-07-19,2004-07-24,6
2005,°­¸ª,2005-08-11,2005-08-16,6
2006,°­¸ª,2006-08-09,2006-08-15,7
2007,°­¸ª,2007-08-13,2007-08-17,5
2008,°­¸ª,2008-07-03,2008-07-06,4
2009,°­¸ª,2009-06-25,2009-06-26,2
2010,°­¸ª,2010-07-25,2010-07-31,7
2011,°­¸ª,2011-08-07,2011-08-11,5
2012,°­¸ª,2012-07-23,2012-07-30,8
2013,°­¸ª,2013-08-03,2013-08-18,16
2014,°­¸ª,2014-07-17,2014-07-18,2
2015,°­¸ª,2015-07-26,2015-07-31,6
2016,°­¸ª,2016-08-10,2016-08-14,5
2017,°­¸ª,2017-07-16,2017-07-20,5
2018,°­¸ª,2018-07-19,2018-07-29,11
2019,°­¸ª,2019-07-21,2019-08-02,13
2020,°­¸ª,2020-08-11,2020-08-19,9
2021,°­¸ª,2021-07-29,2021-08-05,8
2022,°­¸ª,2022-07-29,2022-08-08,11


°¡Àå ºü¸¥/°¡Àå ´ÊÀº ¿­´ë¾ß
¿¬µµ,°¡Àå ºü¸¥ ÁöÁ¡,°¡Àå ºü¸¥ ³¯Â¥,°¡Àå ´ÊÀº ÁöÁ¡,°¡Àå ´ÊÀº ³¯Â¥
1973,°­¸ª,1973-07-06,°­¸ª¡¤»ïÃ´¡¤¼ÓÃÊ,1973-08-21
1974,¼ÓÃÊ,1974-08-01,°­¸ª,1974-08-13
1975,°­¸ª¡¤»ïÃ´¡¤¼ÓÃÊ,1975-07-16,¼ÓÃÊ,1975-08-30
1976,°­¸ª¡¤»ïÃ´¡¤¼ÓÃÊ,1976-07-26,°­¸ª,1976-08-19
1977,»ïÃ´,1977-07-10,°­¸ª¡¤»ïÃ´,1977-08-03
1978,»ïÃ´,1978-06-08,»ïÃ´¡¤¼ÓÃÊ,1978-08-28
1979,°­¸ª,1979-06-17,¼ÓÃÊ,1979-08-11
1980,¼ÓÃÊ,1980-06-05,¼ÓÃÊ,1980-06-05
1981,°­¸ª,1981-07-15,°­¸ª¡¤¼ÓÃÊ,1981-08-02
1982,»ïÃ´,1982-06-11,°­¸ª,1982-08-11
1983,°­¸ª,1983-07-18,°­¸ª¡¤»ïÃ´¡¤¼ÓÃÊ,1983-08-06
1984,°­¸ª¡¤¼ÓÃÊ,1984-07-02,°­¸ª¡¤»ïÃ´¡¤¼ÓÃÊ,1984-08-20
1985,°­¸ª,1985-07-08,°­¸ª¡¤¼ÓÃÊ,1985-08-26
1986,°­¸ª,1986-07-27,°­¸ª¡¤¼ÓÃÊ,1986-08-12
1987,°­¸ª¡¤»ïÃ´¡¤¼ÓÃÊ,1987-06-04,°­¸ª,1987-08-28
1988,°­¸ª,1988-08-02,°­¸ª,1988-08-02
1989,°­¸ª,1989-07-16,°­¸ª,1989-08-11
1990,°­¸ª,1990-07-21,°­¸ª,1990-08-30
1991,°­¸ª¡¤¼ÓÃÊ,1991-06-27,°­¸ª¡¤¼ÓÃÊ,1991-07-26
1992,°­¸ª,1992-07-18,°­¸ª,1992-09-03
1993,,,,
1994,°­¸ª,1994-07-01,µ¿ÇØ¡¤¼ÓÃÊ,1994-09-04
1995,°­¸ª¡¤µ¿ÇØ¡¤¼ÓÃÊ,1995-07-11,°­¸ª,1995-09-02
1996,°­¸ª,1996-07-16,°­¸ª¡¤¼ÓÃÊ,1996-08-03
1997,°­¸ª,1997-06-24,°­¸ª¡¤µ¿ÇØ¡¤¼ÓÃÊ,1997-08-31
1998,°­¸ª,1998-06-27,°­¸ª,1998-08-12
1999,°­¸ª,1999-06-14,°­¸ª,1999-09-11
2000,°­¸ª,2000-06-19,°­¸ª¡¤¼ÓÃÊ,2000-09-01
2001,°­¸ª,2001-06-27,°­¸ª,2001-08-08
2002,°­¸ª,2002-06-07,°­¸ª,2002-08-04
2003,°­¸ª,2003-08-21,°­¸ª¡¤µ¿ÇØ,2003-08-22
2004,°­¸ª,2004-07-17,µ¿ÇØ,2004-08-08
2005,°­¸ª,2005-06-20,°­¸ª¡¤¼ÓÃÊ,2005-08-16
2006,°­¸ª,2006-07-13,°­¸ª,2006-08-27
2007,°­¸ª,2007-07-25,°­¸ª¡¤¼ÓÃÊ,2007-08-25
2008,°­¸ª,2008-07-03,°­¸ª¡¤µ¿ÇØ¡¤ºÏ°­¸ª¡¤¼ÓÃÊ,2008-08-18
2009,µ¿ÇØ¡¤¼ÓÃÊ,2009-06-24,°­¸ª¡¤µ¿ÇØ¡¤ºÏ°­¸ª,2009-08-19
