
열대야일수
지점/지역명 : 제주

평균 열대야일수
연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연합계,순위
평년,0,0,0,0,0,0,2.8,3.6,0.1,0,0,0,6.5
1973,0.0,0.0,0.0,0.0,0.0,0.0,6.5,5.8,0.0,0.0,0.0,0.0,12.3,38
1974,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.5,0.0,0.0,0.0,0.0,5.5,48
1975,0.0,0.0,0.0,0.0,0.0,0.0,7.5,11.0,0.5,0.0,0.0,0.0,19.0,30
1976,0.0,0.0,0.0,0.0,0.0,0.0,0.3,8.5,0.0,0.0,0.0,0.0,8.8,41
1977,0.0,0.0,0.0,0.0,0.0,0.0,7.3,2.3,0.5,0.0,0.0,0.0,10.0,40
1978,0.0,0.0,0.0,0.0,0.0,0.3,10.8,9.0,0.3,0.0,0.0,0.0,20.3,26
1979,0.0,0.0,0.0,0.0,0.0,0.3,2.8,7.3,0.0,0.0,0.0,0.0,10.3,39
1980,0.0,0.0,0.0,0.0,0.0,0.0,3.5,1.3,0.0,0.0,0.0,0.0,4.8,49
1981,0.0,0.0,0.0,0.0,0.0,0.0,10.8,7.8,0.5,0.0,0.0,0.0,19.0,29
1982,0.0,0.0,0.0,0.0,0.0,0.0,0.8,6.8,0.0,0.0,0.0,0.0,7.5,47
1983,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.8,0.8,0.0,0.0,0.0,15.5,33
1984,0.0,0.0,0.0,0.0,0.0,0.5,7.0,10.8,1.5,0.0,0.0,0.0,19.8,28
1985,0.0,0.0,0.0,0.0,0.0,0.0,6.8,8.0,2.3,0.0,0.0,0.0,17.0,31
1986,0.0,0.0,0.0,0.0,0.0,0.0,2.5,5.3,0.0,0.0,0.0,0.0,7.8,45
1987,0.0,0.0,0.0,0.0,0.0,0.0,2.5,5.8,0.0,0.0,0.0,0.0,8.3,43
1988,0.0,0.0,0.0,0.0,0.0,0.0,11.3,5.3,0.0,0.0,0.0,0.0,16.5,32
1989,0.0,0.0,0.0,0.0,0.0,0.0,8.8,4.3,1.8,0.0,0.0,0.0,14.8,35
1990,0.0,0.0,0.0,0.0,0.0,0.5,12.3,19.3,3.8,0.0,0.0,0.0,35.8,8
1991,0.0,0.0,0.0,0.0,0.0,0.5,11.0,2.3,1.5,0.0,0.0,0.0,15.3,34
1992,0.0,0.0,0.0,0.0,0.0,0.0,8.5,8.0,4.3,0.0,0.0,0.0,20.8,25
1993,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.8,0.0,0.0,0.0,0.0,3.3,50
1994,0.0,0.0,0.0,0.0,0.0,0.0,18.0,14.3,1.3,0.0,0.0,0.0,33.5,9
1995,0.0,0.0,0.0,0.0,0.0,0.0,7.3,22.0,2.8,0.0,0.0,0.0,32.0,11
1996,0.0,0.0,0.0,0.0,0.0,0.0,10.0,13.8,0.0,0.0,0.0,0.0,23.8,21
1997,0.0,0.0,0.0,0.0,0.0,0.3,8.3,10.5,1.0,0.0,0.0,0.0,20.0,27
1998,0.0,0.0,0.0,0.0,0.0,0.8,11.5,17.8,1.0,0.0,0.0,0.0,31.0,14
1999,0.0,0.0,0.0,0.0,0.0,0.0,1.8,3.5,3.0,0.0,0.0,0.0,8.3,42
2000,0.0,0.0,0.0,0.0,0.0,0.0,10.8,16.8,0.8,0.0,0.0,0.0,28.3,15
2001,0.0,0.0,0.0,0.0,0.0,0.3,12.5,11.5,0.3,0.0,0.0,0.0,24.5,20
2002,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.8,0.0,0.0,0.0,0.0,7.8,44
2003,0.0,0.0,0.0,0.0,0.0,0.0,3.5,13.0,5.5,0.0,0.0,0.0,22.0,24
2004,0.0,0.0,0.0,0.0,0.0,0.0,12.0,18.5,1.3,0.0,0.0,0.0,31.8,12
2005,0.0,0.0,0.0,0.0,0.0,1.8,7.0,15.5,3.5,0.0,0.0,0.0,27.8,16
2006,0.0,0.0,0.0,0.0,0.0,0.0,6.5,17.0,0.0,0.0,0.0,0.0,23.5,22
2007,0.0,0.0,0.0,0.0,0.0,0.0,5.3,19.8,1.8,0.0,0.0,0.0,26.8,17
2008,0.0,0.0,0.0,0.0,0.0,0.0,13.5,9.5,0.0,0.0,0.0,0.0,23.0,23
2009,0.0,0.0,0.0,0.0,0.0,0.0,7.3,6.5,0.0,0.0,0.0,0.0,13.8,36
2010,0.0,0.0,0.0,0.0,0.0,0.0,9.0,25.5,7.3,0.0,0.0,0.0,41.8,3
2011,0.0,0.0,0.0,0.0,0.0,1.0,13.8,9.8,0.8,0.0,0.0,0.0,25.3,18
2012,0.0,0.0,0.0,0.0,0.0,0.0,10.3,22.3,0.0,0.0,0.0,0.0,32.5,10
2013,0.0,0.0,0.0,0.0,0.0,0.0,20.5,23.3,0.5,0.3,0.0,0.0,44.5,1
2014,0.0,0.0,0.0,0.0,0.3,0.0,5.0,2.0,0.3,0.0,0.0,0.0,7.5,46
2015,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.5,0.0,0.0,0.0,0.0,12.5,37
2016,0.0,0.0,0.0,0.0,0.0,0.0,13.5,23.0,0.0,0.0,0.0,0.0,36.5,6
2017,0.0,0.0,0.0,0.0,0.0,0.0,22.5,18.5,0.5,0.0,0.0,0.0,41.5,4
2018,0.0,0.0,0.0,0.0,0.0,0.0,13.8,23.8,0.3,0.0,0.0,0.0,37.8,5
2019,0.0,0.0,0.0,0.0,0.0,0.0,6.3,17.3,1.3,0.0,0.0,0.0,24.8,19
2020,0.0,0.0,0.0,0.0,0.0,0.0,3.5,27.0,1.0,0.0,0.0,0.0,31.5,13
2021,0.0,0.0,0.0,0.0,0.0,0.0,19.3,16.3,0.3,0.3,0.0,0.0,36.0,7
2022,0.0,0.0,0.0,0.0,0.0,2.3,18.0,20.0,2.3,0.0,0.0,0.0,42.5,2


가장 긴 열대야
연도,지점,시작일,종료일,지속일수
1973,서귀포,1973-07-12,1973-07-18,7
1974,서귀포,1974-07-31,1974-08-03,4
1975,서귀포,1975-07-28,1975-08-05,9
1976,서귀포,1976-08-08,1976-08-13,6
1977,서귀포,1977-07-22,1977-07-30,9
1978,제주,1978-07-21,1978-07-29,9
1979,서귀포,1979-07-29,1979-08-05,8
1980,서귀포,1980-07-19,1980-07-22,4
1981,서귀포,1981-07-21,1981-07-30,10
1982,서귀포,1982-08-04,1982-08-10,7
1983,제주,1983-07-23,1983-08-03,12
1984,성산·성산포,1984-08-16,1984-08-20,5
1985,서귀포,1985-07-24,1985-08-02,10
1986,성산·성산포,1986-08-24,1986-08-26,3
1987,서귀포,1987-08-26,1987-08-29,4
1988,서귀포,1988-07-08,1988-07-22,15
1989,서귀포,1989-07-16,1989-07-24,9
1990,서귀포,1990-07-22,1990-08-07,17
1991,서귀포,1991-07-16,1991-07-24,9
1992,서귀포,1992-07-19,1992-07-31,13
1993,고산·서귀포·성산·성산포·제주,1993-08-24,1993-08-24,1
1994,제주,1994-07-28,1994-08-16,20
1995,고산·서귀포,1995-07-29,1995-08-19,22
1996,서귀포,1996-07-19,1996-08-13,26
1997,제주,1997-07-23,1997-07-30,8
1998,제주,1998-07-30,1998-08-18,20
1999,제주,1999-08-08,1999-08-13,6
2000,서귀포,2000-08-22,2000-09-02,12
2001,제주,2001-07-20,2001-08-07,19
2002,서귀포,2002-08-25,2002-08-30,6
2003,서귀포,2003-08-17,2003-08-27,11
2004,서귀포,2004-07-23,2004-08-18,27
2005,성산·성산포,2005-07-31,2005-08-11,12
2006,서귀포,2006-07-25,2006-08-18,25
2007,서귀포,2007-08-13,2007-08-29,17
2008,제주,2008-07-27,2008-08-05,10
2009,제주,2009-07-12,2009-07-20,9
2010,제주,2010-07-30,2010-08-26,28
2011,제주,2011-07-25,2011-08-12,19
2012,제주,2012-07-21,2012-08-22,33
2013,서귀포,2013-07-07,2013-08-24,49
2014,서귀포,2014-07-22,2014-07-25,4
2015,제주,2015-07-22,2015-07-30,9
2016,제주,2016-07-18,2016-08-25,39
2017,서귀포,2017-07-19,2017-08-12,25
2018,제주,2018-07-19,2018-08-15,28
2019,서귀포,2019-07-26,2019-08-14,20
2020,고산,2020-07-29,2020-08-24,27
2021,제주,2021-07-18,2021-08-09,23
2022,제주,2022-07-26,2022-08-16,22


가장 빠른/가장 늦은 열대야
연도,가장 빠른 지점,가장 빠른 날짜,가장 늦은 지점,가장 늦은 날짜
1973,서귀포·성산·성산포,1973-07-12,서귀포·성산·성산포,1973-08-31
1974,제주,1974-07-18,성산·성산포,1974-08-21
1975,서귀포·성산·성산포·제주,1975-07-10,서귀포·성산·성산포,1975-09-02
1976,서귀포,1976-07-31,서귀포,1976-08-26
1977,서귀포·성산·성산포,1977-07-08,성산·성산포,1977-09-10
1978,제주,1978-06-26,제주,1978-09-03
1979,제주,1979-06-25,서귀포·성산·성산포,1979-08-26
1980,서귀포,1980-07-19,서귀포·성산·성산포·제주,1980-08-29
1981,제주,1981-07-01,성산·성산포·제주,1981-09-02
1982,제주,1982-07-27,서귀포,1982-08-26
1983,제주,1983-07-01,제주,1983-09-02
1984,제주,1984-06-06,서귀포·성산·성산포·제주,1984-09-02
1985,제주,1985-07-06,서귀포·성산·성산포,1985-09-18
1986,서귀포·성산·성산포·제주,1986-07-18,서귀포·성산·성산포·제주,1986-08-26
1987,제주,1987-07-21,서귀포·성산·성산포·제주,1987-08-29
1988,서귀포,1988-07-08,성산·성산포,1988-08-26
1989,고산·서귀포·성산·성산포,1989-07-16,고산·서귀포·성산·성산포,1989-09-16
1990,제주,1990-06-19,고산·서귀포·성산·성산포,1990-09-11
1991,제주,1991-06-11,고산·서귀포·성산·성산포·제주,1991-09-04
1992,제주,1992-07-09,고산·서귀포·성산·성산포·제주,1992-09-07
1993,고산·서귀포,1993-07-31,고산·서귀포·성산·성산포·제주,1993-08-24
1994,제주,1994-07-01,서귀포·성산·성산포,1994-09-04
1995,제주,1995-07-09,서귀포,1995-09-07
1996,고산·서귀포,1996-07-19,서귀포·제주,1996-08-26
1997,제주,1997-06-30,고산·서귀포·성산·성산포·제주,1997-09-01
1998,제주,1998-06-25,고산·서귀포·성산·성산포,1998-09-19
1999,서귀포,1999-07-21,제주,1999-09-19
2000,제주,2000-07-10,서귀포,2000-09-02
2001,서귀포,2001-06-29,서귀포,2001-09-08
2002,서귀포,2002-07-14,서귀포,2002-08-30
2003,서귀포·성산·성산포,2003-07-21,서귀포·성산·성산포,2003-09-18
2004,고산·서귀포,2004-07-02,서귀포,2004-09-06
2005,제주,2005-06-26,제주,2005-09-20
2006,서귀포,2006-07-08,고산·서귀포·성산·성산포·제주,2006-08-28
2007,고산·서귀포,2007-07-23,고산·서귀포·성산·성산·제주,2007-09-19
2008,서귀포·제주,2008-07-11,서귀포·제주,2008-08-22
2009,제주,2009-07-07,제주,2009-08-27
2010,서귀포,2010-07-16,서귀포,2010-09-21
2011,제주,2011-06-22,서귀포,2011-09-16
2012,제주,2012-07-05,고산·서귀포·성산·제주,2012-08-26
2013,서귀포·제주,2013-07-02,서귀포,2013-10-06
2014,제주,2014-05-27,서귀포,2014-09-02
2015,제주,2015-07-22,성산,2015-08-20
2016,제주,2016-07-04,제주,2016-08-31
2017,서귀포,2017-07-01,서귀포·제주,2017-09-05
2018,고산·서귀포·제주,2018-07-10,고산,2018-09-02
2019,제주,2019-07-23,서귀포,2019-09-10
2020,제주,2020-07-19,고산·서귀포·성산·제주,2020-09-01
2021,고산·서귀포·성산·제주,2021-07-05,성산,2021-10-03
2022,제주,2022-06-25,서귀포,2022-09-18


