year,data,location
1973,5,서울경기
1974,0,서울경기
1975,3,서울경기
1976,0,서울경기
1977,5,서울경기
1978,7,서울경기
1979,0,서울경기
1980,0,서울경기
1981,2,서울경기
1982,0,서울경기
1983,0,서울경기
1984,4,서울경기
1985,6,서울경기
1986,0,서울경기
1987,0,서울경기
1988,9,서울경기
1989,3,서울경기
1990,4,서울경기
1991,0,서울경기
1992,0,서울경기
1993,0,서울경기
1994,21,서울경기
1995,0,서울경기
1996,4,서울경기
1997,0,서울경기
1998,0,서울경기
1999,10,서울경기
2000,2,서울경기
2001,2,서울경기
2002,2,서울경기
2003,0,서울경기
2004,5,서울경기
2005,4,서울경기
2006,2,서울경기
2007,0,서울경기
2008,2,서울경기
2009,0,서울경기
2010,0,서울경기
2011,2,서울경기
2012,8,서울경기
2013,0,서울경기
2014,3,서울경기
2015,2,서울경기
2016,16,서울경기
2017,4,서울경기
2018,24,서울경기
2019,9,서울경기
2020,2,서울경기
2021,12,서울경기
2022,3,서울경기
1973,6,강원영동
1974,2,강원영동
1975,2,강원영동
1976,0,강원영동
1977,8,강원영동
1978,6,강원영동
1979,3,강원영동
1980,0,강원영동
1981,8,강원영동
1982,2,강원영동
1983,8,강원영동
1984,7,강원영동
1985,2,강원영동
1986,0,강원영동
1987,2,강원영동
1988,0,강원영동
1989,0,강원영동
1990,0,강원영동
1991,0,강원영동
1992,5,강원영동
1993,0,강원영동
1994,15,강원영동
1995,5,강원영동
1996,2,강원영동
1997,6,강원영동
1998,0,강원영동
1999,2,강원영동
2000,7,강원영동
2001,0,강원영동
2002,5,강원영동
2003,0,강원영동
2004,6,강원영동
2005,7,강원영동
2006,2,강원영동
2007,3,강원영동
2008,5,강원영동
2009,0,강원영동
2010,11,강원영동
2011,4,강원영동
2012,6,강원영동
2013,20,강원영동
2014,0,강원영동
2015,7,강원영동
2016,4,강원영동
2017,9,강원영동
2018,20,강원영동
2019,13,강원영동
2020,3,강원영동
2021,5,강원영동
2022,3,강원영동
1973,11,강원영서
1974,2,강원영서
1975,0,강원영서
1976,0,강원영서
1977,9,강원영서
1978,10,강원영서
1979,3,강원영서
1980,0,강원영서
1981,5,강원영서
1982,6,강원영서
1983,8,강원영서
1984,14,강원영서
1985,16,강원영서
1986,4,강원영서
1987,2,강원영서
1988,11,강원영서
1989,0,강원영서
1990,13,강원영서
1991,6,강원영서
1992,0,강원영서
1993,0,강원영서
1994,31,강원영서
1995,3,강원영서
1996,15,강원영서
1997,10,강원영서
1998,0,강원영서
1999,7,강원영서
2000,13,강원영서
2001,9,강원영서
2002,2,강원영서
2003,0,강원영서
2004,15,강원영서
2005,10,강원영서
2006,13,강원영서
2007,2,강원영서
2008,8,강원영서
2009,3,강원영서
2010,6,강원영서
2011,5,강원영서
2012,10,강원영서
2013,3,강원영서
2014,9,강원영서
2015,8,강원영서
2016,23,강원영서
2017,4,강원영서
2018,30,강원영서
2019,13,강원영서
2020,0,강원영서
2021,10,강원영서
2022,2,강원영서
1973,10,경남
1974,2,경남
1975,0,경남
1976,0,경남
1977,9,경남
1978,11,경남
1979,4,경남
1980,0,경남
1981,5,경남
1982,7,경남
1983,12,경남
1984,11,경남
1985,17,경남
1986,6,경남
1987,0,경남
1988,7,경남
1989,0,경남
1990,20,경남
1991,0,경남
1992,7,경남
1993,0,경남
1994,33,경남
1995,14,경남
1996,23,경남
1997,6,경남
1998,0,경남
1999,0,경남
2000,2,경남
2001,8,경남
2002,8,경남
2003,0,경남
2004,18,경남
2005,12,경남
2006,19,경남
2007,19,경남
2008,11,경남
2009,0,경남
2010,10,경남
2011,2,경남
2012,15,경남
2013,18,경남
2014,6,경남
2015,16,경남
2016,27,경남
2017,14,경남
2018,34,경남
2019,9,경남
2020,6,경남
2021,10,경남
2022,4,경남
1973,23,경북
1974,5,경북
1975,13,경북
1976,5,경북
1977,12,경북
1978,14,경북
1979,7,경북
1980,0,경북
