Column1,지역,연도,연합계
0,강원도,1973,4.6
1,강원도,1974,1.2
2,강원도,1975,2.7
3,강원도,1976,1.3
4,강원도,1977,3
5,강원도,1978,3.85
6,강원도,1979,2.15
7,강원도,1980,0.15
8,강원도,1981,1.9
9,강원도,1982,1.15
10,강원도,1983,3.7
11,강원도,1984,2.75
12,강원도,1985,2.45
13,강원도,1986,0.75
14,강원도,1987,0.4
15,강원도,1988,0.15
16,강원도,1989,0.85
17,강원도,1990,1.1
18,강원도,1991,1.35
19,강원도,1992,3.95
20,강원도,1993,0
21,강원도,1994,8
22,강원도,1995,5
23,강원도,1996,1.85
24,강원도,1997,3.35
25,강원도,1998,1.3
26,강원도,1999,1.95
27,강원도,2000,3.15
28,강원도,2001,1.45
29,강원도,2002,2.35
30,강원도,2003,0.25
31,강원도,2004,2.85
32,강원도,2005,4.6
33,강원도,2006,2.65
34,강원도,2007,3.35
35,강원도,2008,3.95
36,강원도,2009,1.05
37,강원도,2010,7.65
38,강원도,2011,1.95
39,강원도,2012,3.6
40,강원도,2013,7.6
41,강원도,2014,2.5
42,강원도,2015,4.25
43,강원도,2016,5.5
44,강원도,2017,4.85
45,강원도,2018,10.65
46,강원도,2019,7.2
47,강원도,2020,4.2
48,강원도,2021,3.35
49,강원도,2022,7.9
0,전남,1973,12.7
1,전남,1974,2.6
2,전남,1975,14.3
3,전남,1976,5.6
4,전남,1977,6.3
5,전남,1978,17.3
6,전남,1979,7.1
7,전남,1980,1.3
8,전남,1981,10.3
9,전남,1982,3.6
10,전남,1983,9
11,전남,1984,13.7
12,전남,1985,9
13,전남,1986,4
14,전남,1987,3.4
15,전남,1988,6.6
16,전남,1989,6.3
17,전남,1990,13.3
18,전남,1991,7.9
19,전남,1992,7.9
20,전남,1993,0.1
21,전남,1994,24.9
22,전남,1995,13.6
23,전남,1996,11.4
24,전남,1997,8.6
25,전남,1998,14.7
26,전남,1999,3.6
27,전남,2000,5.3
28,전남,2001,8.1
29,전남,2002,3.7
30,전남,2003,2.7
31,전남,2004,7.3
32,전남,2005,8.3
33,전남,2006,10.7
34,전남,2007,10.7
35,전남,2008,12.4
36,전남,2009,6
37,전남,2010,19.3
38,전남,2011,12.9
39,전남,2012,17.7
40,전남,2013,23.7
41,전남,2014,3.6
42,전남,2015,5.9
43,전남,2016,15.4
44,전남,2017,18.4
45,전남,2018,25.7
46,전남,2019,14.9
47,전남,2020,16.9
48,전남,2021,11.3
49,전남,2022,22.6
0,제주,1973,12.3
1,제주,1974,5.5
2,제주,1975,19
3,제주,1976,8.8
4,제주,1977,10
5,제주,1978,20.3
6,제주,1979,10.3
7,제주,1980,4.8
8,제주,1981,19
9,제주,1982,7.5
10,제주,1983,15.5
11,제주,1984,19.8
12,제주,1985,17
13,제주,1986,7.8
14,제주,1987,8.3
15,제주,1988,16.5
16,제주,1989,14.8
17,제주,1990,35.8
18,제주,1991,15.3
19,제주,1992,20.8
20,제주,1993,3.3
21,제주,1994,33.5
22,제주,1995,32
23,제주,1996,23.8
24,제주,1997,20
25,제주,1998,31
26,제주,1999,8.3
27,제주,2000,28.3
28,제주,2001,24.5
29,제주,2002,7.8
30,제주,2003,22
31,제주,2004,31.8
32,제주,2005,27.8
33,제주,2006,23.5
34,제주,2007,26.8
35,제주,2008,23
36,제주,2009,13.8
37,제주,2010,41.8
38,제주,2011,25.3
39,제주,2012,32.5
40,제주,2013,44.5
41,제주,2014,7.5
42,제주,2015,12.5
43,제주,2016,36.5
44,제주,2017,41.5
45,제주,2018,37.8
46,제주,2019,24.8
47,제주,2020,31.5
48,제주,2021,36
49,제주,2022,42.5
0,충북,1973,3
1,충북,1974,1.2
2,충북,1975,1.6
3,충북,1976,0.2
4,충북,1977,0.6
5,충북,1978,1.2
6,충북,1979,1
7,충북,1980,0
8,충북,1981,2.4
9,충북,1982,0.6
10,충북,1983,5
11,충북,1984,1.2
12,충북,1985,1.8
13,충북,1986,0
14,충북,1987,0.6
15,충북,1988,0.4
16,충북,1989,0.2
17,충북,1990,1.2
18,충북,1991,0.8
19,충북,1992,3.4
20,충북,1993,0
21,충북,1994,7.6
22,충북,1995,3.2
23,충북,1996,3.2
24,충북,1997,3
25,충북,1998,3
26,충북,1999,1.8
27,충북,2000,1.6
28,충북,2001,1.6
29,충북,2002,1
30,충북,2003,0
31,충북,2004,1.6
32,충북,2005,1.6
33,충북,2006,1.2
34,충북,2007,2.8
35,충북,2008,2.6
36,충북,2009,0.8
37,충북,2010,7.2
38,충북,2011,2.2
39,충북,2012,3.8
40,충북,2013,7.6
41,충북,2014,1.4
42,충북,2015,1.8
43,충북,2016,6
44,충북,2017,5.4
45,충북,2018,12.2
46,충북,2019,6.6
47,충북,2020,4.6
48,충북,2021,3.8
49,충북,2022,8
0,전국,1973,6.2
1,전국,1974,1.3
2,전국,1975,5.5
3,전국,1976,2.4
4,전국,1977,3
5,전국,1978,8.1
6,전국,1979,3.6
7,전국,1980,0.5
8,전국,1981,4.8
9,전국,1982,2.1
10,전국,1983,5.7
11,전국,1984,5.6
12,전국,1985,4.9
13,전국,1986,1.9
14,전국,1987,1.8
15,전국,1988,2.7
16,전국,1989,2.2
17,전국,1990,6.5
18,전국,1991,3.6
19,전국,1992,4.9
20,전국,1993,0.2
21,전국,1994,16.8
22,전국,1995,8.6
23,전국,1996,5.8
24,전국,1997,5.3
25,전국,1998,5.8
26,전국,1999,2.3
27,전국,2000,4.2
28,전국,2001,6
29,전국,2002,3.3
30,전국,2003,1.5
31,전국,2004,4.3
32,전국,2005,4.8
33,전국,2006,5.1
34,전국,2007,6.1
35,전국,2008,6.1
36,전국,2009,2.5
37,전국,2010,11.5
38,전국,2011,5.6
39,전국,2012,9.1
40,전국,2013,14
41,전국,2014,3
42,전국,2015,4.2
43,전국,2016,10
44,전국,2017,10.1
45,전국,2018,16.6
46,전국,2019,10.2
47,전국,2020,7.4
48,전국,2021,5.5
49,전국,2022,13.2
0,전북,1973,3.9
1,전북,1974,0.6
2,전북,1975,6
3,전북,1976,2.7
4,전북,1977,3
5,전북,1978,8.9
6,전북,1979,2.6
7,전북,1980,1.4
8,전북,1981,3.7
9,전북,1982,2.4
10,전북,1983,6.1
11,전북,1984,4.6
12,전북,1985,2.7
13,전북,1986,1.9
14,전북,1987,1.6
15,전북,1988,4.7
16,전북,1989,2
17,전북,1990,6.6
18,전북,1991,5.4
19,전북,1992,4.6
20,전북,1993,0.1
21,전북,1994,15.3
22,전북,1995,8
23,전북,1996,5.4
24,전북,1997,4.4
25,전북,1998,7.3
26,전북,1999,2.1
27,전북,2000,2
28,전북,2001,6.6
29,전북,2002,4.3
30,전북,2003,1.6
31,전북,2004,3.9
32,전북,2005,4.4
33,전북,2006,7
34,전북,2007,5.9
35,전북,2008,4.7
36,전북,2009,3
37,전북,2010,11.1
38,전북,2011,6.1
39,전북,2012,8.3
40,전북,2013,14.9
41,전북,2014,2.7
42,전북,2015,3
43,전북,2016,8.1
44,전북,2017,10.3
45,전북,2018,14
46,전북,2019,9.6
47,전북,2020,7.7
48,전북,2021,2.1
49,전북,2022,13.9
0,충남,1973,3.7
1,충남,1974,1
2,충남,1975,4.3
3,충남,1976,3.2
4,충남,1977,1.8
5,충남,1978,5.8
6,충남,1979,3
7,충남,1980,0.7
8,충남,1981,2.5
9,충남,1982,1.3
10,충남,1983,4.2
11,충남,1984,2
12,충남,1985,1
13,충남,1986,0.7
14,충남,1987,1.7
15,충남,1988,3
16,충남,1989,1
17,충남,1990,4
18,충남,1991,3.8
19,충남,1992,4.3
20,충남,1993,0
21,충남,1994,19.7
22,충남,1995,8.8
23,충남,1996,6
24,충남,1997,7.3
25,충남,1998,5
26,충남,1999,2
27,충남,2000,3.8
28,충남,2001,7.3
29,충남,2002,3.8
30,충남,2003,1.5
31,충남,2004,2.8
32,충남,2005,3.5
33,충남,2006,2.2
34,충남,2007,3.7
35,충남,2008,2.3
36,충남,2009,1.7
37,충남,2010,10.3
38,충남,2011,5
39,충남,2012,8.8
40,충남,2013,15
41,충남,2014,2.2
42,충남,2015,3
43,충남,2016,8.2
44,충남,2017,8.8
45,충남,2018,17.2
46,충남,2019,10
47,충남,2020,8
48,충남,2021,3.3
49,충남,2022,12.7
0,서울경기,1973,4.7
1,서울경기,1974,0.7
2,서울경기,1975,3.7
3,서울경기,1976,0.5
4,서울경기,1977,2.5
5,서울경기,1978,7
6,서울경기,1979,2.3
7,서울경기,1980,0
8,서울경기,1981,3.7
9,서울경기,1982,1.3
10,서울경기,1983,4
11,서울경기,1984,4.2
12,서울경기,1985,3.8
13,서울경기,1986,0.5
14,서울경기,1987,0
15,서울경기,1988,2.3
16,서울경기,1989,1.8
17,서울경기,1990,1.8
18,서울경기,1991,0.7
19,서울경기,1992,1
20,서울경기,1993,0
21,서울경기,1994,22.5
22,서울경기,1995,8.2
23,서울경기,1996,6.5
24,서울경기,1997,8.8
25,서울경기,1998,1.3
26,서울경기,1999,3.3
27,서울경기,2000,5.7
28,서울경기,2001,4.2
29,서울경기,2002,2.7
30,서울경기,2003,0.3
31,서울경기,2004,3.8
32,서울경기,2005,4.2
33,서울경기,2006,3.5
34,서울경기,2007,5.8
35,서울경기,2008,4.2
36,서울경기,2009,2
37,서울경기,2010,10.2
38,서울경기,2011,2.2
39,서울경기,2012,11.7
40,서울경기,2013,12.2
41,서울경기,2014,2.3
42,서울경기,2015,5.7
43,서울경기,2016,18.3
44,서울경기,2017,10.8
45,서울경기,2018,21
46,서울경기,2019,10.7
47,서울경기,2020,5.7
48,서울경기,2021,9.8
49,서울경기,2022,14.3
0,경남,1973,9.5
1,경남,1974,1.6
2,경남,1975,7.2
3,경남,1976,3.1
4,경남,1977,3.4
5,경남,1978,11.5
6,경남,1979,5.8
7,경남,1980,0.8
8,경남,1981,7.6
9,경남,1982,3.4
10,경남,1983,7.1
11,경남,1984,9
12,경남,1985,11.4
13,경남,1986,4.7
14,경남,1987,4.1
15,경남,1988,3.5
16,경남,1989,3.5
17,경남,1990,14.9
18,경남,1991,5.8
19,경남,1992,7.2
20,경남,1993,0.3
21,경남,1994,22.7
22,경남,1995,11.8
23,경남,1996,8.1
24,경남,1997,5.2
25,경남,1998,9.5
26,경남,1999,2.7
27,경남,2000,6.8
28,경남,2001,11.1
29,경남,2002,4.3
30,경남,2003,3.5
31,경남,2004,6.7
32,경남,2005,4.1
33,경남,2006,7.3
34,경남,2007,10.4
35,경남,2008,10
36,경남,2009,4.3
37,경남,2010,14.6
38,경남,2011,8.6
39,경남,2012,11.5
40,경남,2013,18.3
41,경남,2014,4.5
42,경남,2015,5.5
43,경남,2016,13.8
44,경남,2017,14.2
45,경남,2018,19.5
46,경남,2019,12.3
47,경남,2020,8.6
48,경남,2021,7.5
49,경남,2022,16.7
0,경북,1973,5.3
1,경북,1974,1.1
2,경북,1975,3.8
3,경북,1976,1.8
4,경북,1977,2.7
5,경북,1978,6.9
6,경북,1979,3.4
7,경북,1980,0
8,경북,1981,4.5
9,경북,1982,2.1
10,경북,1983,5.5
11,경북,1984,5.2
12,경북,1985,3.6
13,경북,1986,1
14,경북,1987,1.4
15,경북,1988,1.3
16,경북,1989,1.5
17,경북,1990,4.7
18,경북,1991,2.4
19,경북,1992,4.7
20,경북,1993,0.5
21,경북,1994,13.7
22,경북,1995,8.5
23,경북,1996,4.1
24,경북,1997,3.5
25,경북,1998,3.5
26,경북,1999,1.4
27,경북,2000,4.1
28,경북,2001,5.5
29,경북,2002,3.4
30,경북,2003,1
31,경북,2004,3.6
32,경북,2005,6.3
