 1911≥‚,,,,94.4
 1912≥‚,11.7,16.7,7.8,1371.9
 1913≥‚,11.7,16.9,7.5,950.1
 1914≥‚,13.2,17.9,9.3,1301
 1915≥‚,12.1,16.9,8.2,1159
 1916≥‚,12.1,16.9,8.2,1682.5
 1917≥‚,,16.5,6.9,802.3
 1918≥‚,11.3,16.4,7.1,1087.5
 1919≥‚,11.6,16.9,7.2,1558.9
 1920≥‚,11.8,16.7,7.7,1784.7
 1921≥‚,11.7,16.6,7.5,1487.1
 1922≥‚,12.3,17.3,7.9,1142.7
 1923≥‚,11.7,16.6,7,1362.1
 1924≥‚,11.7,17,7,865.1
 1925≥‚,11.4,16.4,6.9,1906.8
 1926≥‚,11.4,16.6,6.7,1127.1
 1927≥‚,11.9,17.2,7.1,875.8
 1928≥‚,11.6,17,7.7,1070.3
 1929≥‚,12,17.6,7.8,963.2
 1930≥‚,12.4,17.6,8.5,1463.1
 1931≥‚,11.2,16.4,7.1,1501.6
 1932≥‚,11.7,17.1,7.8,1022.7
 1933≥‚,11.6,16.7,7.7,1740.6
 1934≥‚,11.4,16.9,7.2,1229.4
 1935≥‚,12.2,17.8,8,1118.2
 1936≥‚,11.2,16.8,6.9,1767.5
 1937≥‚,12.3,17.7,8,1113.9
 1938≥‚,12.2,17.8,8,1103.5
 1939≥‚,12.5,18.2,8,741.1
 1940≥‚,12.2,17.8,7.4,1192.1
 1941≥‚,11.9,17.3,7.4,1605.4
 1942≥‚,12.7,17.9,8.1,941.2
 1943≥‚,12.5,17.4,8.1,969.7
 1944≥‚,12,16.8,7.9,1136.1
 1945≥‚,11.3,16,7.2,1315.7
 1946≥‚,12.3,16.9,8,798.7
 1947≥‚,10.5,15.3,6.3,1206.4
 1948≥‚,12.3,17,8.1,1152
 1949≥‚,12.1,16.7,8,951.6
 1950≥‚,,,,866
 1951≥‚,,,,348
 1952≥‚,12,16.9,7.9,1258.9
 1953≥‚,12.4,17.1,8.7,1288.7
 1954≥‚,12.3,16.5,8.8,2416.9
 1955≥‚,12.8,17.6,8.8,1048.4
 1956≥‚,11.3,15.9,7.4,1522.1
 1957≥‚,11.5,16.1,7.8,1388.9
 1958≥‚,12.2,16.9,8.2,1568.4
 1959≥‚,13.3,17.8,9.2,1404.1
 1960≥‚,13,17.6,9.2,1391.8
 1961≥‚,13.6,18.1,9.3,1419.5
 1962≥‚,12.7,17.2,8.4,1184
 1963≥‚,11.6,16.2,7.6,1118.8
 1964≥‚,12,16.2,8.3,1692.8
 1965≥‚,12.2,16.9,8,1142
 1966≥‚,11.3,16.4,6.8,3436.9
 1967≥‚,11.4,16.7,6.8,2417.1
 1968≥‚,11.5,16.3,7.3,3614.8
 1969≥‚,11.2,15.6,7.1,4065.4
 1970≥‚,11.3,15.8,7.2,4414.3
 1971≥‚,11.6,16.1,7.5,5360.1
 1972≥‚,10.4,15.3,6,10320.2
 1973≥‚,10.5,15.9,5.8,6901.6
 1974≥‚,9.4,15,4.5,8012.5
 1975≥‚,10.7,16,6,9983.7
 1976≥‚,10,15.4,5.1,8907.9
 1977≥‚,10.4,16.3,5.4,7341.9
 1978≥‚,10.9,16.6,6,10125.9
 1979≥‚,11,16.6,6.1,8759.8
 1980≥‚,9.5,15.2,4.4,8421.4
 1981≥‚,9.5,15.5,4.3,10439.9
 1982≥‚,10.6,16.7,5.3,7272.8
 1983≥‚,10.4,16.1,5.4,7977.3
 1984≥‚,9.7,15.6,4.7,10574.7
 1985≥‚,10.3,15.7,5.5,10545
 1986≥‚,9.3,14.9,4.5,9376.1
 1987≥‚,10.3,15.9,5.4,11402.2
 1988≥‚,10,15.7,4.9,9764.9
 1989≥‚,10.7,16.1,6,13260
 1990≥‚,10.7,15.9,6.4,18412.8
 1991≥‚,10.1,15.8,5.1,11949.8
 1992≥‚,10.2,15.7,5.5,13003.3
 1993≥‚,10,15.3,5.2,14228.8
 1994≥‚,11.3,16.9,6.3,10649.2
 1995≥‚,10,15.8,5,13800.3
 1996≥‚,9.9,15.7,4.9,12394.7
 1997≥‚,10.6,16.4,5.5,14472
 1998≥‚,11.6,16.9,7,19065.3
 1999≥‚,11.1,16.7,6.2,18407.3
 2000≥‚,10.8,16.4,5.8,13254
 2001≥‚,10.8,16.7,5.7,11725.9
 2002≥‚,10.7,16.2,5.8,17691.1
 2003≥‚,10.5,15.8,5.9,20685.8
 2004≥‚,11.4,17.2,6.4,16128.1
 2005≥‚,10.4,16,5.6,15989.4
 2006≥‚,10.9,16.4,6.3,19041.1
 2007≥‚,11.4,16.8,6.9,15810.2
 2008≥‚,11.2,16.8,6.3,13749.2
 2009≥‚,11.3,16.8,6.5,15601.3
 2010≥‚,11,16.2,6.4,16295.7
 2011≥‚,10.5,15.9,5.8,23798.8
 2012≥‚,10.5,15.9,5.8,16440.6
 2013≥‚,11.2,16.6,6.5,15994.4
 2014≥‚,11.7,17.2,6.7,13078.5
 2015≥‚,12,17.5,7.1,11621.3
 2016≥‚,12,17.4,7.3,14912
 2017≥‚,11.5,17,6.4,15425
 2018≥‚,11.3,16.8,6.3,20299.5
 2019≥‚,12,17.7,7,15324.2
 2020≥‚,11.7,17.2,7,22051.7
 2021≥‚,11.9,17.4,7.1,15819
 2022≥‚,,,,19629.8
 ∆Ú±’,11.4,16.6,6.9,7028.3
