
열대야일수
지점/지역명 : 강원영서

평균 열대야일수
연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연합계,순위
평년,0,0,0,0,0,0,2.8,3.6,0.1,0,0,0,6.5
1973,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.4,0.0,0.0,0.0,0.0,2.2,19
1974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.6,37
1975,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.6,36
1976,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.0,0.0,0.0,0.6,35
1977,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,0.0,0.0,0.0,0.0,1.2,25
1978,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.2,0.0,0.0,0.0,0.0,2.2,18
1979,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.2,0.0,0.0,0.0,0.0,0.8,32
1980,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50
1981,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.8,31
1982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.8,30
1983,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.4,0.0,0.0,0.0,0.0,2.4,13
1984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49
1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.4,42
1986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48
1987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47
1988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46
1989,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.4,41
1990,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,43
1991,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.4,40
1992,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0.0,2.4,12
1993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45
1994,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,6.0,5
1995,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.4,0.0,0.0,0.0,0.0,2.2,17
1996,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.4,39
1997,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.8,0.0,0.0,0.0,0.0,2.2,16
1998,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.0,0.0,0.0,0.6,34
1999,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.6,0.0,0.0,0.0,0.0,1.4,22
2000,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.8,29
2001,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.6,33
2002,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.4,0.0,0.0,0.0,0.0,1.2,24
2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44
2004,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,1.4,21
2005,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.0,0.2,0.0,0.0,0.0,2.4,11
2006,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6,0.0,0.0,0.0,0.0,0.8,28
2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,1.2,23
2008,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6,0.0,0.0,0.0,0.0,1.6,20
2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.8,27
2010,0.0,0.0,0.0,0.0,0.0,0.0,2.4,4.6,0.0,0.0,0.0,0.0,7.0,3
2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.4,38
2012,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.8,0.0,0.0,0.0,0.0,2.2,15
2013,0.0,0.0,0.0,0.0,0.0,0.0,0.8,3.4,0.0,0.0,0.0,0.0,4.2,9
2014,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,0.0,0.0,0.0,0.0,1.0,26
2015,0.0,0.0,0.0,0.0,0.0,0.0,2.4,1.8,0.0,0.0,0.0,0.0,4.2,8
2016,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,6.0,4
2017,0.0,0.0,0.0,0.0,0.0,0.0,2.8,1.6,0.0,0.0,0.0,0.0,4.4,7
2018,0.0,0.0,0.0,0.0,0.0,0.0,4.6,7.2,0.0,0.0,0.0,0.0,11.8,1
2019,0.0,0.0,0.0,0.0,0.0,0.0,3.8,1.6,0.2,0.0,0.0,0.0,5.6,6
2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,2.6,10
2021,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.4,0.0,0.0,0.0,0.0,2.2,14
2022,0.0,0.0,0.0,0.0,0.0,0.6,2.0,4.4,0.0,0.0,0.0,0.0,7.0,2


가장 긴 열대야
연도,지점,시작일,종료일,지속일수
1973,춘천,1973-07-25,1973-07-26,2
1974,원주,1974-08-29,1974-08-29,1
1975,원주·춘천·홍천,1975-07-31,1975-07-31,1
1976,원주,1976-08-04,1976-08-04,1
1977,원주·춘천·홍천,1977-08-03,1977-08-03,1
1978,홍천,1978-08-01,1978-08-02,2
1979,춘천,1979-07-30,1979-07-31,2
1980,,,,
1981,원주,1981-07-31,1981-07-31,1
1982,춘천,1982-08-05,1982-08-06,2
1983,춘천,1983-07-30,1983-07-31,2
1984,,,,
1985,원주·홍천,1985-08-08,1985-08-08,1
1986,,,,
1987,,,,
1988,,,,
1989,철원,1989-07-18,1989-07-19,2
1990,원주,1990-07-07,1990-07-07,1
1991,원주,1991-07-28,1991-07-28,1
1992,춘천,1992-07-24,1992-07-26,3
1993,,,,
1994,원주,1994-08-13,1994-08-15,3
1995,원주,1995-07-30,1995-07-31,2
1996,원주,1996-07-29,1996-07-29,1
1997,원주·춘천·홍천,1997-07-31,1997-08-01,2
1998,영월·원주,1998-08-05,1998-08-05,1
1999,원주,1999-08-07,1999-08-08,2
2000,영월·원주,2000-07-21,2000-07-21,1
2001,원주,2001-07-22,2001-07-22,1
2002,춘천,2002-07-31,2002-08-01,2
2003,,,,
2004,원주,2004-07-18,2004-07-21,4
2005,원주,2005-08-15,2005-08-16,2
2006,인제·춘천·홍천,2006-08-15,2006-08-15,1
2007,원주,2007-08-12,2007-08-13,2
2008,원주,2008-08-11,2008-08-11,1
2009,원주·인제·춘천·홍천,2009-08-19,2009-08-19,1
2010,원주,2010-08-03,2010-08-06,4
2011,원주,2011-08-11,2011-08-11,1
2012,춘천,2012-08-18,2012-08-19,2
2013,원주·춘천,2013-08-07,2013-08-09,3
2014,춘천,2014-08-04,2014-08-05,2
2015,원주,2015-07-26,2015-07-30,5
2016,원주·춘천,2016-08-12,2016-08-15,4
2017,춘천,2017-07-19,2017-07-23,5
2018,춘천,2018-07-22,2018-07-29,8
2019,춘천,2019-07-27,2019-07-30,4
2020,춘천,2020-08-25,2020-08-29,5
2021,춘천,2021-07-29,2021-07-31,3
2022,춘천,2022-07-28,2022-08-03,7


가장 빠른/가장 늦은 열대야
연도,가장 빠른 지점,가장 빠른 날짜,가장 늦은 지점,가장 늦은 날짜
1973,춘천,1973-07-12,인제·춘천,1973-08-10
1974,원주,1974-08-02,원주,1974-08-29
1975,원주·춘천·홍천,1975-07-31,원주·춘천·홍천,1975-07-31
1976,원주,1976-07-21,원주,1976-08-04
1977,인제·춘천,1977-07-24,원주·춘천·홍천,1977-08-03
1978,원주,1978-07-02,인제,1978-08-10
1979,춘천,1979-07-30,원주,1979-08-03
1980,,,,
1981,춘천,1981-07-23,원주,1981-07-31
1982,원주·춘천,1982-08-05,인제·춘천,1982-08-06
1983,원주·춘천·홍천,1983-07-25,인제·춘천,1983-08-02
1984,,,,
1985,원주·홍천,1985-08-08,원주·홍천,1985-08-08
1986,,,,
1987,,,,
1988,,,,
1989,철원,1989-07-18,철원,1989-07-19
1990,원주,1990-07-07,원주,1990-07-07
1991,인제,1991-07-23,원주,1991-07-28
1992,원주·춘천·홍천,1992-07-20,원주·춘천,1992-07-29
1993,,,,
1994,원주,1994-07-04,홍천,1994-08-16
1995,홍천,1995-07-15,원주,1995-08-18
1996,원주,1996-07-25,원주,1996-07-29
1997,영월·원주,1997-07-03,영월·원주·인제·춘천·홍천,1997-08-01
1998,원주,1998-07-07,영월·원주,1998-08-05
1999,원주·춘천,1999-07-21,원주,1999-08-10
2000,철원·춘천·홍천,2000-07-20,영월·원주,2000-07-21
2001,원주,2001-07-02,원주,2001-07-22
2002,춘천,2002-07-28,춘천,2002-08-04
2003,,,,
2004,원주·홍천,2004-07-18,원주,2004-07-21
2005,원주·춘천·홍천,2005-07-22,원주,2005-09-01
2006,춘천,2006-07-30,인제·춘천·홍천,2006-08-15
2007,원주·춘천,2007-08-01,원주,2007-08-20
2008,영월·원주·인제·춘천·홍천,2008-07-06,원주,2008-08-11
2009,원주·인제·춘천·홍천,2009-08-19,원주·인제·춘천·홍천,2009-08-19
2010,춘천·홍천,2010-07-18,원주,2010-08-28
2011,영월,2011-07-18,원주,2011-08-11
2012,원주·춘천,2012-07-30,원주·춘천·홍천,2012-08-27
2013,원주,2013-07-08,원주,2013-08-17
2014,춘천,2014-07-21,원주·춘천,2014-08-05
2015,원주,2015-07-20,원주,2015-08-07
2016,원주·춘천·홍천,2016-07-23,원주,2016-08-20
2017,춘천,2017-07-07,북춘천·원주·철원·춘천·홍천,2017-08-23
2018,영월·원주·춘천·홍천,2018-07-22,원주·춘천,2018-08-22
2019,춘천,2019-07-19,원주,2019-09-06
2020,북춘천·원주·철원·춘천·홍천,2020-08-13,춘천,2020-08-29
2021,원주·춘천,2021-07-14,춘천,2021-08-05
2022,춘천,2022-06-25,원주·춘천,2022-08-15


