
열대야일수
지점/지역명 : 경북

평균 열대야일수
연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연합계,순위
평년,0,0,0,0,0,0,2.8,3.6,0.1,0,0,0,6.5
1973,0.0,0.0,0.0,0.0,0.0,0.0,2.3,3.0,0.0,0.0,0.0,0.0,5.3,16
1974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,1.1,45
1975,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.4,0.0,0.0,0.0,0.0,3.8,27
1976,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.6,0.0,0.0,0.0,0.0,1.8,40
1977,0.0,0.0,0.0,0.0,0.0,0.0,1.7,1.0,0.0,0.0,0.0,0.0,2.7,37
1978,0.0,0.0,0.0,0.0,0.0,0.4,3.3,3.3,0.0,0.0,0.0,0.0,6.9,10
1979,0.0,0.0,0.0,0.0,0.0,0.1,1.5,1.7,0.0,0.0,0.0,0.0,3.4,35
1980,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50
1981,0.0,0.0,0.0,0.0,0.0,0.4,3.1,1.0,0.0,0.0,0.0,0.0,4.5,23
1982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,2.1,39
1983,0.0,0.0,0.0,0.0,0.0,0.0,3.3,2.2,0.1,0.0,0.0,0.0,5.5,14
1984,0.0,0.0,0.0,0.0,0.0,0.0,0.9,4.0,0.3,0.0,0.0,0.0,5.2,17
1985,0.0,0.0,0.0,0.0,0.0,0.0,1.3,2.3,0.1,0.0,0.0,0.0,3.6,30
1986,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,47
1987,0.0,0.0,0.0,0.0,0.0,0.1,0.6,0.6,0.0,0.0,0.0,0.0,1.4,43
1988,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.1,0.0,0.0,0.0,0.0,1.3,44
1989,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.5,0.0,0.0,0.0,0.0,1.5,41
1990,0.0,0.0,0.0,0.0,0.0,0.1,2.5,2.2,0.0,0.0,0.0,0.0,4.7,20
1991,0.0,0.0,0.0,0.0,0.0,0.3,1.9,0.2,0.0,0.0,0.0,0.0,2.4,38
1992,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.1,0.8,0.0,0.0,0.0,4.7,19
1993,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.4,0.0,0.0,0.0,0.0,0.5,49
1994,0.0,0.0,0.0,0.0,0.0,0.2,7.0,6.3,0.3,0.0,0.0,0.0,13.7,1
1995,0.0,0.0,0.0,0.0,0.0,0.0,3.1,5.2,0.3,0.0,0.0,0.0,8.5,7
1996,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.5,0.0,0.0,0.0,0.0,4.1,26
1997,0.0,0.0,0.0,0.0,0.0,0.0,1.9,1.4,0.3,0.0,0.0,0.0,3.5,32
1998,0.0,0.0,0.0,0.0,0.0,0.0,1.7,1.8,0.0,0.0,0.0,0.0,3.5,31
1999,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.6,0.0,0.0,0.0,0.0,1.4,42
2000,0.0,0.0,0.0,0.0,0.0,0.2,2.7,1.1,0.1,0.0,0.0,0.0,4.1,25
2001,0.0,0.0,0.0,0.0,0.0,0.3,3.5,1.7,0.0,0.0,0.0,0.0,5.5,15
2002,0.0,0.0,0.0,0.0,0.0,0.0,1.2,2.2,0.0,0.0,0.0,0.0,3.4,34
2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,46
2004,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.1,0.0,0.0,0.0,0.0,3.6,29
2005,0.0,0.0,0.0,0.0,0.0,0.5,1.8,3.5,0.4,0.0,0.0,0.0,6.3,11
2006,0.0,0.0,0.0,0.0,0.0,0.1,1.3,3.0,0.0,0.0,0.0,0.0,4.4,24
2007,0.0,0.0,0.0,0.0,0.0,0.1,0.9,3.5,0.2,0.0,0.0,0.0,4.6,22
2008,0.0,0.0,0.0,0.0,0.0,0.0,3.7,1.8,0.0,0.0,0.0,0.0,5.5,13
2009,0.0,0.0,0.0,0.0,0.0,0.1,0.5,0.3,0.0,0.0,0.0,0.0,0.8,48
2010,0.0,0.0,0.0,0.0,0.0,0.0,3.2,6.2,0.6,0.0,0.0,0.0,10.0,4
2011,0.0,0.0,0.0,0.0,0.0,0.5,1.9,2.3,0.0,0.0,0.0,0.0,4.6,21
2012,0.0,0.0,0.0,0.0,0.0,0.0,2.7,4.7,0.0,0.0,0.0,0.0,7.5,8
2013,0.0,0.0,0.0,0.0,0.0,0.0,5.5,6.5,0.0,0.0,0.0,0.0,12.0,3
2014,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.9,0.0,0.0,0.0,0.0,3.5,33
2015,0.0,0.0,0.0,0.0,0.0,0.0,2.6,1.0,0.0,0.0,0.0,0.0,3.6,28
2016,0.0,0.0,0.0,0.0,0.0,0.0,2.3,3.5,0.0,0.0,0.0,0.0,5.8,12
2017,0.0,0.0,0.0,0.0,0.0,0.3,5.0,1.9,0.0,0.0,0.0,0.0,7.2,9
2018,0.0,0.0,0.0,0.0,0.1,0.0,7.4,6.0,0.0,0.0,0.0,0.0,13.5,2
2019,0.0,0.0,0.0,0.0,0.0,0.0,4.5,4.5,0.6,0.0,0.0,0.0,9.6,6
2020,0.0,0.0,0.0,0.0,0.0,0.0,0.3,4.4,0.1,0.0,0.0,0.0,4.7,18
2021,0.0,0.0,0.0,0.0,0.0,0.0,1.8,1.3,0.0,0.0,0.0,0.0,3.1,36
2022,0.0,0.0,0.0,0.0,0.0,1.8,2.8,5.0,0.1,0.1,0.0,0.0,9.8,5


가장 긴 열대야
연도,지점,시작일,종료일,지속일수
1973,영덕·울진,1973-08-16,1973-08-18,3
1974,포항,1974-08-03,1974-08-04,2
1975,대구,1975-07-18,1975-07-21,4
1976,대구,1976-08-12,1976-08-13,2
1977,대구,1977-07-28,1977-08-03,7
1978,대구,1978-07-29,1978-08-02,5
1979,울진,1979-07-27,1979-08-02,7
1980,울릉도,1980-06-05,1980-06-05,1
1981,대구,1981-07-18,1981-07-22,5
1982,대구·포항,1982-08-05,1982-08-08,4
1983,포항,1983-07-24,1983-07-30,7
1984,대구,1984-08-01,1984-08-11,11
1985,울릉도,1985-08-07,1985-08-09,3
1986,영덕·포항,1986-08-19,1986-08-19,1
1987,대구·포항,1987-08-29,1987-08-29,1
1988,대구,1988-07-09,1988-07-12,4
1989,포항,1989-07-24,1989-07-25,2
1990,포항,1990-07-30,1990-08-10,12
1991,포항,1991-07-21,1991-07-25,5
1992,포항,1992-07-24,1992-07-30,7
1993,대구·영천·울진·포항,1993-08-24,1993-08-24,1
1994,포항,1994-07-19,1994-08-08,21
1995,포항,1995-07-29,1995-08-08,11
1996,포항,1996-07-21,1996-07-26,6
1997,포항,1997-08-30,1997-09-01,3
1998,포항,1998-07-05,1998-07-09,5
1999,대구·안동,1999-08-07,1999-08-08,2
2000,포항,2000-07-16,2000-07-21,6
2001,대구,2001-07-20,2001-08-09,21
2002,대구·포항,2002-07-29,2002-08-05,8
2003,포항,2003-08-21,2003-08-24,4
2004,대구·포항,2004-07-18,2004-07-24,7
2005,포항,2005-08-08,2005-08-14,7
2006,대구,2006-07-30,2006-08-07,9
2007,대구,2007-08-16,2007-08-21,6
2008,대구,2008-07-04,2008-07-11,8
2009,포항,2009-08-19,2009-08-20,2
2010,포항,2010-07-19,2010-07-27,9
2011,포항,2011-08-05,2011-08-16,12
2012,대구,2012-07-22,2012-08-06,16
2013,대구·포항,2013-08-07,2013-08-19,13
2014,대구,2014-07-21,2014-07-25,5
2015,대구·포항,2015-07-26,2015-07-31,6
2016,포항,2016-07-24,2016-07-31,8
2017,포항,2017-07-07,2017-07-13,7
2018,포항,2018-07-12,2018-07-30,19
2019,포항,2019-07-21,2019-08-01,12
2020,포항,2020-08-09,2020-08-19,11
2021,포항,2021-07-29,2021-08-07,10
2022,대구,2022-07-29,2022-08-11,14


가장 빠른/가장 늦은 열대야
연도,가장 빠른 지점,가장 빠른 날짜,가장 늦은 지점,가장 늦은 날짜
1973,대구·포항,1973-07-06,대구,1973-08-31
1974,대구,1974-08-01,대구·영천,1974-08-22
1975,대구·영천·포항,1975-07-15,울진,1975-08-30
1976,대구,1976-07-27,대구·영천·울릉도·포항,1976-08-21
1977,대구·안동·영천·의성,1977-07-03,구미·대구,1977-08-07
1978,대구,1978-06-25,대구·영덕·포항,1978-08-28
1979,울진,1979-06-23,대구·영천,1979-08-26
1980,울릉도,1980-06-05,울릉도,1980-06-05
1981,대구·영덕·영천·포항,1981-06-21,대구·영천·포항,1981-08-17
1982,울릉도,1982-07-11,대구·포항,1982-08-19
1983,영덕,1983-07-18,포항,1983-09-02
1984,대구·영천,1984-07-02,대구·영천·의성,1984-09-01
1985,울진,1985-07-08,울진,1985-09-03
1986,울릉도,1986-07-26,영덕·포항,1986-08-19
1987,울릉도·울진,1987-06-04,대구·포항,1987-08-29
1988,대구·울릉도·포항,1988-07-07,포항,1988-08-10
1989,포항,1989-07-18,대구,1989-08-20
1990,포항,1990-06-23,대구·울릉도·포항,1990-08-30
1991,포항,1991-06-11,대구·포항,1991-08-01
1992,대구·울진·포항,1992-07-19,대구·영덕·울진·포항,1992-09-03
1993,대구,1993-07-08,대구·영천·울진·포항,1993-08-24
1994,포항,1994-06-26,대구·울진·포항,1994-09-04
1995,영천,1995-07-08,구미·영천·포항,1995-09-02
1996,구미·대구·영천·의성·포항,1996-07-15,포항,1996-08-14
1997,대구·포항,1997-07-02,대구·안동·포항,1997-09-01
1998,대구·영천·포항,1998-07-02,구미·대구·포항,1998-08-14
1999,대구·울진·포항,1999-07-23,대구,1999-08-17
2000,대구·포항,2000-06-30,포항,2000-09-01
2001,문경,2001-06-08,포항,2001-08-20
2002,울진,2002-07-12,대구,2002-08-29
2003,포항,2003-08-02,포항,2003-08-24
2004,대구,2004-07-12,포항,2004-08-17
2005,대구·포항,2005-06-24,포항,2005-09-12
2006,포항,2006-06-20,대구,2006-08-23
2007,포항,2007-06-28,대구·포항,2007-09-20
2008,대구,2008-07-04,영덕,2008-08-18
2009,영덕,2009-06-24,대구,2009-08-22
2010,구미,2010-07-01,대구,2010-09-10
2011,영덕·포항,2011-06-22,구미,2011-08-17
2012,포항,2012-07-03,포항,2012-08-29
2013,포항,2013-07-02,경주시·구미·대구·안동·영천·의성·포항,2013-08-22
2014,대구,2014-07-09,대구,2014-08-06
2015,포항,2015-07-12,포항,2015-08-23
2016,포항,2016-07-01,대구·상주·포항,2016-08-22
2017,경주시·영덕·영천·포항,2017-06-30,대구·영천·포항,2017-08-24
2018,포항,2018-05-16,포항,2018-08-30
2019,포항,2019-07-21,포항,2019-09-08
2020,구미·대구,2020-07-19,포항,2020-09-02
2021,포항,2021-07-12,포항,2021-08-07
2022,포항,2022-06-19,포항,2022-10-03


