
열대야일수
지점/지역명 : 경남

평균 열대야일수
연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연합계,순위
평년,0,0,0,0,0,0,2.8,3.6,0.1,0,0,0,6.5
1973,0.0,0.0,0.0,0.0,0.0,0.0,4.6,4.8,0.0,0.0,0.0,0.0,9.5,18
1974,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.3,0.0,0.0,0.0,0.0,1.6,48
1975,0.0,0.0,0.0,0.0,0.0,0.0,2.7,4.0,0.5,0.0,0.0,0.0,7.2,27
1976,0.0,0.0,0.0,0.0,0.0,0.0,0.1,3.0,0.0,0.0,0.0,0.0,3.1,46
1977,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.7,0.3,0.0,0.0,0.0,3.4,45
1978,0.0,0.0,0.0,0.0,0.0,0.3,6.1,5.2,0.0,0.0,0.0,0.0,11.5,11
1979,0.0,0.0,0.0,0.0,0.0,0.0,1.6,4.2,0.0,0.0,0.0,0.0,5.8,32
1980,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.8,49
1981,0.0,0.0,0.0,0.0,0.0,0.1,4.2,3.3,0.1,0.0,0.0,0.0,7.6,23
1982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0,0.0,0.0,0.0,3.4,44
1983,0.0,0.0,0.0,0.0,0.0,0.0,3.4,3.0,0.7,0.0,0.0,0.0,7.1,28
1984,0.0,0.0,0.0,0.0,0.0,0.0,1.9,6.4,0.7,0.0,0.0,0.0,9.0,19
1985,0.0,0.0,0.0,0.0,0.0,0.0,2.7,6.9,1.7,0.0,0.0,0.0,11.4,13
1986,0.0,0.0,0.0,0.0,0.0,0.0,1.1,3.6,0.0,0.0,0.0,0.0,4.7,35
1987,0.0,0.0,0.0,0.0,0.0,0.0,1.3,2.8,0.0,0.0,0.0,0.0,4.1,40
1988,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1.8,0.0,0.0,0.0,0.0,3.5,43
1989,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.5,0.0,0.0,0.0,0.0,3.5,42
1990,0.0,0.0,0.0,0.0,0.0,0.0,6.6,6.5,1.7,0.0,0.0,0.0,14.9,5
1991,0.0,0.0,0.0,0.0,0.0,0.0,4.1,1.1,0.6,0.0,0.0,0.0,5.8,31
1992,0.0,0.0,0.0,0.0,0.0,0.0,3.6,1.4,2.2,0.0,0.0,0.0,7.2,26
1993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.3,50
1994,0.0,0.0,0.0,0.0,0.0,0.0,9.9,12.0,0.8,0.0,0.0,0.0,22.7,1
1995,0.0,0.0,0.0,0.0,0.0,0.0,2.7,8.9,0.2,0.0,0.0,0.0,11.8,10
1996,0.0,0.0,0.0,0.0,0.0,0.0,4.3,3.8,0.0,0.0,0.0,0.0,8.1,22
1997,0.0,0.0,0.0,0.0,0.0,0.0,1.5,3.1,0.6,0.0,0.0,0.0,5.2,34
1998,0.0,0.0,0.0,0.0,0.0,0.0,2.5,7.0,0.0,0.0,0.0,0.0,9.5,17
1999,0.0,0.0,0.0,0.0,0.0,0.0,0.9,1.5,0.4,0.0,0.0,0.0,2.7,47
2000,0.0,0.0,0.0,0.0,0.0,0.0,2.9,3.8,0.1,0.0,0.0,0.0,6.8,29
2001,0.0,0.0,0.0,0.0,0.0,0.0,5.6,5.5,0.0,0.0,0.0,0.0,11.1,14
2002,0.0,0.0,0.0,0.0,0.0,0.0,1.1,3.2,0.0,0.0,0.0,0.0,4.3,38
2003,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2.4,1.1,0.0,0.0,0.0,3.5,41
2004,0.0,0.0,0.0,0.0,0.0,0.0,4.5,2.3,0.0,0.0,0.0,0.0,6.7,30
2005,0.0,0.0,0.0,0.0,0.0,0.3,0.5,3.3,0.0,0.0,0.0,0.0,4.1,39
2006,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.3,0.0,0.0,0.0,0.0,7.3,25
2007,0.0,0.0,0.0,0.0,0.0,0.1,1.3,7.5,1.5,0.0,0.0,0.0,10.4,15
2008,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,10.0,16
2009,0.0,0.0,0.0,0.0,0.0,0.0,2.4,1.9,0.0,0.0,0.0,0.0,4.3,37
2010,0.0,0.0,0.0,0.0,0.0,0.0,2.6,10.5,1.5,0.0,0.0,0.0,14.6,6
2011,0.0,0.0,0.0,0.0,0.0,0.3,2.8,5.4,0.2,0.0,0.0,0.0,8.6,21
2012,0.0,0.0,0.0,0.0,0.0,0.0,3.1,8.4,0.0,0.0,0.0,0.0,11.5,12
2013,0.0,0.0,0.0,0.0,0.0,0.0,7.8,10.4,0.1,0.0,0.0,0.0,18.3,3
2014,0.0,0.0,0.0,0.0,0.0,0.0,3.6,0.9,0.0,0.0,0.0,0.0,4.5,36
2015,0.0,0.0,0.0,0.0,0.0,0.0,3.5,2.1,0.0,0.0,0.0,0.0,5.5,33
2016,0.0,0.0,0.0,0.0,0.0,0.0,5.2,8.6,0.0,0.0,0.0,0.0,13.8,8
2017,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.2,0.0,0.0,0.0,0.0,14.2,7
2018,0.0,0.0,0.0,0.0,0.0,0.0,8.0,11.5,0.0,0.0,0.0,0.0,19.5,2
2019,0.0,0.0,0.0,0.0,0.0,0.0,4.4,6.9,1.0,0.0,0.0,0.0,12.3,9
2020,0.0,0.0,0.0,0.0,0.0,0.0,0.4,8.1,0.2,0.0,0.0,0.0,8.6,20
2021,0.0,0.0,0.0,0.0,0.0,0.0,4.5,3.0,0.0,0.0,0.0,0.0,7.5,24
2022,0.0,0.0,0.0,0.0,0.0,0.4,4.4,11.5,0.5,0.0,0.0,0.0,16.7,4


가장 긴 열대야
연도,지점,시작일,종료일,지속일수
1973,울산,1973-08-14,1973-08-17,4
1974,거제,1974-07-31,1974-08-03,4
1975,부산,1975-08-18,1975-08-22,5
1976,부산,1976-08-09,1976-08-13,5
1977,부산,1977-07-28,1977-08-03,7
1978,부산,1978-07-22,1978-08-02,12
1979,부산,1979-07-30,1979-08-04,6
1980,거제,1980-07-19,1980-07-22,4
1981,부산,1981-07-28,1981-08-03,7
1982,울산,1982-08-10,1982-08-15,6
1983,남해,1983-07-24,1983-08-04,12
1984,부산,1984-08-06,1984-08-12,7
1985,마산,1985-07-25,1985-08-04,11
1986,마산,1986-07-29,1986-08-02,5
1987,거제·마산·부산,1987-08-27,1987-08-29,3
1988,마산,1988-07-08,1988-07-12,5
1989,남해,1989-07-23,1989-07-25,3
1990,마산,1990-07-22,1990-08-10,20
1991,거제·마산,1991-07-19,1991-07-24,6
1992,거제·부산·통영,1992-08-30,1992-09-03,5
1993,거제·마산·통영,1993-08-24,1993-08-24,1
1994,마산,1994-07-19,1994-08-16,29
1995,거제·마산,1995-07-30,1995-08-08,10
1996,마산·부산,1996-07-23,1996-08-04,13
1997,부산,1997-08-18,1997-08-21,4
1998,마산,1998-08-02,1998-08-11,10
1999,울산,1999-07-30,1999-08-01,3
2000,부산,2000-08-26,2000-09-01,7
2001,부산,2001-07-20,2001-08-08,20
2002,마산,2002-08-01,2002-08-05,5
2003,통영,2003-08-19,2003-08-23,5
2004,마산,2004-07-16,2004-07-23,8
2005,울산,2005-08-09,2005-08-14,6
2006,부산,2006-08-04,2006-08-17,14
2007,부산,2007-08-08,2007-08-13,6
2008,거제,2008-07-15,2008-07-20,6
2009,밀양,2009-08-08,2009-08-15,8
2010,김해시,2010-07-30,2010-08-18,20
2011,부산,2011-08-02,2011-08-12,11
2012,부산,2012-07-23,2012-08-06,15
2013,울산,2013-08-03,2013-08-22,20
2014,거제·울산,2014-07-22,2014-07-25,4
2015,울산,2015-07-26,2015-07-31,6
2016,부산,2016-08-03,2016-08-22,20
2017,창원,2017-08-03,2017-08-10,8
2018,부산,2018-07-17,2018-08-06,21
2019,부산,2019-07-27,2019-08-05,10
2020,북창원,2020-08-08,2020-08-19,12
2021,부산,2021-07-28,2021-08-06,10
2022,양산시,2022-07-28,2022-08-15,19


가장 빠른/가장 늦은 열대야
연도,가장 빠른 지점,가장 빠른 날짜,가장 늦은 지점,가장 늦은 날짜
1973,거제·통영,1973-07-12,남해,1973-08-31
1974,거제·남해·밀양·통영,1974-07-31,남해·밀양,1974-08-29
1975,울산,1975-07-10,거제·남해·통영,1975-09-11
1976,거제,1976-07-31,남해,1976-08-22
1977,울산·합천,1977-07-12,거제·산청·통영,1977-09-10
1978,남해·울산,1978-06-25,부산·통영,1978-08-28
1979,거제·밀양·울산,1979-07-22,산청,1979-08-26
1980,거제,1980-07-19,거제·남해·부산,1980-07-22
1981,울산,1981-06-21,통영,1981-09-01
1982,통영,1982-08-04,거제·남해·진주·통영,1982-08-20
1983,거제·남해·밀양·울산,1983-07-24,거제·밀양·부산·울산·통영,1983-09-02
1984,밀양·울산·합천,1984-07-02,거제·남해·밀양·부산·울산·진주·통영·합천,1984-09-01
1985,거제·울산·진주,1985-07-09,마산·창원·통영,1985-09-11
1986,거제·밀양,1986-07-16,거제·남해·마산·밀양·부산·창원·통영,1986-08-27
1987,마산·밀양·산청·울산·창원·합천,1987-07-21,거제·남해·마산·밀양·부산·산청·울산·진주·창원·통영·합천,1987-08-29
1988,마산·창원,1988-07-08,거제·마산·부산·창원,1988-08-22
1989,거제·남해·마산·부산·창원·통영,1989-07-19,거제·남해·마산·부산·창원·통영,1989-08-20
1990,거제·남해·마산·밀양·울산·진주·창원·통영·합천,1990-07-07,거제·남해·마산·부산·창원·통영,1990-09-11
1991,거제·남해·마산·창원,1991-07-19,거제·남해·마산·밀양·부산·울산·창원·통영,1991-09-04
1992,거제,1992-07-19,마산·부산·창원·통영,1992-09-07
1993,거제·마산·창원·통영,1993-08-24,거제·마산·창원·통영,1993-08-24
1994,울산,1994-07-01,거제·남해·마산·부산·창원·통영,1994-09-04
1995,마산·밀양·울산·창원·합천,1995-07-09,거제·남해,1995-09-02
1996,밀양·울산,1996-07-15,거제·마산·부산·창원,1996-08-14
1997,울산,1997-07-02,거제·남해·마산·부산·울산·진주·창원·통영,1997-09-01
1998,울산·합천,1998-07-02,통영,1998-08-16
1999,마산·울산·창원,1999-07-21,마산·부산·창원·통영,1999-09-19
2000,남해,2000-07-15,부산,2000-09-01
2001,울산,2001-07-02,부산,2001-08-24
2002,마산·창원·통영,2002-07-25,마산·부산·진주·창원·통영,2002-08-29
2003,남해,2003-07-22,마산·창원·통영,2003-09-08
2004,울산,2004-07-12,마산·창원·통영,2004-08-29
2005,울산·진주,2005-06-26,마산·부산·울산·진주·창원·합천,2005-08-16
2006,거제·마산·울산·진주·창원·합천,2006-07-12,부산,2006-08-28
2007,울산,2007-06-28,거제·남해·마산·밀양·부산·울산·진주·창원·통영·합천,2007-09-20
2008,밀양·합천,2008-07-05,통영,2008-08-18
2009,김해시·밀양·울산·합천,2009-07-12,김해시,2009-08-27
2010,거제,2010-07-17,남해·북창원·의령군·창원시·통영,2010-09-21
2011,김해시·밀양·울산·의령군·합천,2011-06-23,김해시·부산,2011-09-16
2012,마산·의령군·창원,2012-07-17,김해시·부산,2012-08-29
2013,거제,2013-07-07,부산,2013-09-13
2014,거제·울산,2014-07-22,마산·창원,2014-08-06
2015,거제·남해·밀양·북창원·울산·창원시·통영·합천,2015-07-23,김해시·마산·부산·북창원·울산·창원·창원시,2015-08-10
2016,남해·마산·밀양·의령군·창원,2016-07-05,통영,2016-08-31
2017,양산시·울산·의령군,2017-07-01,거제·남해·부산·북창원·양산시·창원시·통영,2017-08-28
2018,부산,2018-07-11,거제·남해·부산·울산·통영,2018-08-30
2019,남해·양산시·울산·의령군,2019-07-22,거제,2019-09-10
