
열대야일수
지점/지역명 : 전남

평균 열대야일수
연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연합계,순위
평년,0,0,0,0,0,0,2.8,3.6,0.1,0,0,0,6.5
1973,0.0,0.0,0.0,0.0,0.0,0.0,7.4,5.3,0.0,0.0,0.0,0.0,12.7,18
1974,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2.4,0.0,0.0,0.0,0.0,2.6,48
1975,0.0,0.0,0.0,0.0,0.0,0.0,5.1,7.9,1.3,0.0,0.0,0.0,14.3,13
1976,0.0,0.0,0.0,0.0,0.0,0.0,0.1,5.4,0.0,0.0,0.0,0.0,5.6,39
1977,0.0,0.0,0.0,0.0,0.0,0.0,3.4,2.6,0.3,0.0,0.0,0.0,6.3,36
1978,0.0,0.0,0.0,0.0,0.0,0.3,9.4,7.4,0.1,0.0,0.0,0.0,17.3,8
1979,0.0,0.0,0.0,0.0,0.0,0.0,1.6,5.6,0.0,0.0,0.0,0.0,7.1,33
1980,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,1.3,49
1981,0.0,0.0,0.0,0.0,0.0,0.1,5.1,5.0,0.0,0.0,0.0,0.0,10.3,24
1982,0.0,0.0,0.0,0.0,0.0,0.0,0.1,3.4,0.0,0.0,0.0,0.0,3.6,45
1983,0.0,0.0,0.0,0.0,0.0,0.0,3.6,4.9,0.6,0.0,0.0,0.0,9.0,26
1984,0.0,0.0,0.0,0.0,0.0,0.0,3.3,9.6,0.9,0.0,0.0,0.0,13.7,14
1985,0.0,0.0,0.0,0.0,0.0,0.0,1.6,6.0,1.4,0.0,0.0,0.0,9.0,25
1986,0.0,0.0,0.0,0.0,0.0,0.0,1.6,2.4,0.0,0.0,0.0,0.0,4.0,41
1987,0.0,0.0,0.0,0.0,0.0,0.0,0.9,2.6,0.0,0.0,0.0,0.0,3.4,46
1988,0.0,0.0,0.0,0.0,0.0,0.0,3.6,3.0,0.0,0.0,0.0,0.0,6.6,34
1989,0.0,0.0,0.0,0.0,0.0,0.0,3.3,3.0,0.0,0.0,0.0,0.0,6.3,35
1990,0.0,0.0,0.0,0.0,0.0,0.1,5.0,6.1,2.0,0.0,0.0,0.0,13.3,16
1991,0.0,0.0,0.0,0.0,0.0,0.0,5.7,1.4,0.7,0.0,0.0,0.0,7.9,31
1992,0.0,0.0,0.0,0.0,0.0,0.0,3.3,3.1,1.4,0.0,0.0,0.0,7.9,30
1993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,50
1994,0.0,0.0,0.0,0.0,0.0,0.0,11.4,12.7,0.7,0.0,0.0,0.0,24.9,2
1995,0.0,0.0,0.0,0.0,0.0,0.0,2.1,11.1,0.3,0.0,0.0,0.0,13.6,15
1996,0.0,0.0,0.0,0.0,0.0,0.0,6.1,5.3,0.0,0.0,0.0,0.0,11.4,20
1997,0.0,0.0,0.0,0.0,0.0,0.0,2.3,5.3,1.0,0.0,0.0,0.0,8.6,27
1998,0.0,0.0,0.0,0.0,0.0,0.0,3.9,10.9,0.0,0.0,0.0,0.0,14.7,12
1999,0.0,0.0,0.0,0.0,0.0,0.0,0.9,2.0,0.7,0.0,0.0,0.0,3.6,44
2000,0.0,0.0,0.0,0.0,0.0,0.0,3.7,1.6,0.0,0.0,0.0,0.0,5.3,40
2001,0.0,0.0,0.0,0.0,0.0,0.0,5.3,2.9,0.0,0.0,0.0,0.0,8.1,29
2002,0.0,0.0,0.0,0.0,0.0,0.0,0.9,2.9,0.0,0.0,0.0,0.0,3.7,42
2003,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2.1,0.4,0.0,0.0,0.0,2.7,47
2004,0.0,0.0,0.0,0.0,0.0,0.0,4.6,2.7,0.0,0.0,0.0,0.0,7.3,32
2005,0.0,0.0,0.0,0.0,0.0,0.3,0.9,6.7,0.4,0.0,0.0,0.0,8.3,28
2006,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.7,0.0,0.0,0.0,0.0,10.7,23
2007,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.9,0.9,0.0,0.0,0.0,10.7,22
2008,0.0,0.0,0.0,0.0,0.0,0.0,8.4,4.0,0.0,0.0,0.0,0.0,12.4,19
2009,0.0,0.0,0.0,0.0,0.0,0.0,3.6,2.4,0.0,0.0,0.0,0.0,6.0,37
2010,0.0,0.0,0.0,0.0,0.0,0.0,4.1,13.7,1.4,0.0,0.0,0.0,19.3,5
2011,0.0,0.0,0.0,0.0,0.0,0.3,6.6,5.9,0.1,0.0,0.0,0.0,12.9,17
2012,0.0,0.0,0.0,0.0,0.0,0.0,4.3,13.4,0.0,0.0,0.0,0.0,17.7,7
2013,0.0,0.0,0.0,0.0,0.0,0.0,11.0,12.7,0.0,0.0,0.0,0.0,23.7,3
2014,0.0,0.0,0.0,0.0,0.0,0.0,3.6,0.0,0.0,0.0,0.0,0.0,3.6,43
2015,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.9,0.0,0.0,0.0,0.0,5.9,38
2016,0.0,0.0,0.0,0.0,0.0,0.0,5.9,9.6,0.0,0.0,0.0,0.0,15.4,10
2017,0.0,0.0,0.0,0.0,0.0,0.0,10.0,8.4,0.0,0.0,0.0,0.0,18.4,6
2018,0.0,0.0,0.0,0.0,0.0,0.0,9.3,16.4,0.0,0.0,0.0,0.0,25.7,1
2019,0.0,0.0,0.0,0.0,0.0,0.0,5.1,9.7,0.0,0.0,0.0,0.0,14.9,11
2020,0.0,0.0,0.0,0.0,0.0,0.0,0.6,16.1,0.1,0.0,0.0,0.0,16.9,9
2021,0.0,0.0,0.0,0.0,0.0,0.0,7.6,3.7,0.0,0.0,0.0,0.0,11.3,21
2022,0.0,0.0,0.0,0.0,0.0,1.0,7.1,13.4,1.0,0.0,0.0,0.0,22.6,4


가장 긴 열대야
연도,지점,시작일,종료일,지속일수
1973,여수,1973-08-03,1973-08-09,7
1974,해남,1974-08-01,1974-08-03,3
1975,여수,1975-08-16,1975-08-22,7
1976,목포·여수,1976-08-11,1976-08-13,3
1977,목포,1977-07-23,1977-07-27,5
1978,목포·여수,1978-07-26,1978-08-01,7
1979,목포,1979-07-30,1979-08-06,8
1980,해남,1980-07-20,1980-07-22,3
1981,목포,1981-07-24,1981-07-30,7
1982,완도,1982-08-14,1982-08-15,2
1983,광주,1983-07-26,1983-08-03,9
1984,완도,1984-08-16,1984-08-21,6
1985,완도,1985-08-21,1985-08-23,3
1986,고흥,1986-08-26,1986-08-27,2
1987,해남,1987-08-27,1987-08-29,3
1988,여수,1988-08-10,1988-08-13,4
1989,해남,1989-07-22,1989-07-25,4
1990,완도,1990-08-16,1990-08-19,4
1991,광주·목포·해남,1991-07-19,1991-07-24,6
1992,완도,1992-08-26,1992-09-02,8
1993,여수,1993-08-24,1993-08-24,1
1994,여수,1994-07-27,1994-08-16,21
1995,광주·목포,1995-07-30,1995-08-08,10
1996,광주,1996-07-23,1996-07-29,7
1997,광주,1997-08-17,1997-08-20,4
1998,목포,1998-08-01,1998-08-12,12
1999,광주,1999-07-31,1999-08-01,2
2000,해남,2000-07-18,2000-07-22,5
2001,흑산도,2001-07-29,2001-08-04,7
2002,여수,2002-07-31,2002-08-05,6
2003,목포,2003-08-19,2003-08-23,5
2004,여수,2004-07-27,2004-08-01,6
2005,목포,2005-08-08,2005-08-16,9
2006,목포,2006-08-09,2006-08-17,9
2007,목포,2007-08-20,2007-08-23,4
2008,여수,2008-07-27,2008-08-02,7
2009,광주·완도,2009-07-16,2009-07-19,4
2010,광주,2010-07-30,2010-08-06,8
2011,영광군,2011-07-25,2011-07-31,7
2012,여수,2012-07-25,2012-08-06,13
2013,목포,2013-08-14,2013-08-22,9
2014,보성군·여수,2014-07-23,2014-07-25,3
2015,목포,2015-07-27,2015-08-01,6
2016,여수,2016-08-03,2016-08-23,21
2017,여수,2017-08-03,2017-08-10,8
2018,여수,2018-07-18,2018-08-15,29
2019,여수,2019-07-26,2019-08-15,21
2020,목포,2020-07-29,2020-08-16,19
2021,여수,2021-07-27,2021-08-08,13
2022,여수,2022-07-28,2022-08-15,19


가장 빠른/가장 늦은 열대야
연도,가장 빠른 지점,가장 빠른 날짜,가장 늦은 지점,가장 늦은 날짜
1973,여수,1973-07-07,장흥,1973-08-31
1974,고흥,1974-07-31,목포,1974-08-20
1975,고흥·장흥,1975-07-10,고흥,1975-09-14
1976,장흥,1976-07-18,고흥,1976-08-22
1977,광주·순천·주암,1977-07-03,고흥·광주,1977-09-10
1978,해남,1978-06-25,완도,1978-09-08
1979,해남,1979-07-25,고흥·완도,1979-08-26
1980,광주·해남,1980-07-20,고흥·광주·목포·순천·완도·장흥·주암·해남,1980-07-22
1981,해남,1981-06-21,고흥·광주·목포·여수·장흥·해남,1981-08-31
1982,광주,1982-07-27,고흥,1982-08-20
1983,완도·해남,1983-07-24,광주·여수·완도·해남,1983-09-01
1984,광주,1984-07-02,고흥·목포·순천·여수·완도·장흥·주암·해남,1984-09-01
1985,고흥,1985-07-12,고흥·목포·여수·완도·장흥·해남,1985-09-10
1986,광주·해남,1986-07-18,고흥,1986-08-27
1987,광주·순천·주암·해남,1987-07-21,고흥·광주·목포·순천·여수·완도·장흥·주암·해남,1987-08-29
1988,장흥,1988-07-09,여수,1988-08-22
1989,광주·장흥·해남,1989-07-17,고흥·목포·여수·완도·장흥·해남,1989-08-20
1990,광주,1990-06-23,여수,1990-09-11
1991,고흥·광주·목포·완도·해남,1991-07-19,목포·완도·장흥·해남,1991-09-04
1992,해남,1992-07-19,완도,1992-09-05
1993,여수,1993-08-24,여수,1993-08-24
1994,광주,1994-07-03,고흥·여수·완도,1994-09-04
1995,광주·해남,1995-07-11,목포·순천·장흥·주암,1995-09-02
1996,여수,1996-07-18,여수,1996-08-19
1997,광주·순천·완도·주암,1997-07-03,고흥·광주·목포·무안·순천·여수·완도·장흥·주암·해남·흑산도,1997-09-01
1998,광주,1998-07-06,여수,1998-08-16
1999,광주·목포·무안,1999-07-21,광주·무안·여수·해남,1999-09-19
2000,광주·목포·무안·해남,2000-07-18,광주·목포·여수·장흥·해남,2000-08-30
2001,해남,2001-07-01,여수,2001-08-20
2002,여수,2002-07-26,고흥·광주·목포·여수,2002-08-29
2003,목포,2003-07-24,여수,2003-09-08
2004,목포·완도,2004-07-15,여수,2004-08-29
2005,완도·해남,2005-06-26,목포·해남,2005-09-17
2006,고흥·광주·목포,2006-07-12,목포,2006-08-24
2007,광주,2007-07-18,고흥·광주·목포·장흥·해남,2007-09-19
2008,광주,2008-07-05,광주·목포·영광군·해남,2008-08-17
2009,광주·순천·영광군·장흥·주암·해남,2009-07-08,해남,2009-08-27
2010,광주·영광군,2010-07-01,여수,2010-09-21
2011,보성군·순천·순천·완도·장흥·주암,2011-06-23,여수,2011-09-02
2012,고흥·보성군·완도·장흥,2012-07-05,보성군,2012-08-27
2013,해남,2013-07-07,목포,2013-08-28
2014,강진군·고흥·광양시·광주·목포·보성군·여수·영광군·완도·장흥·진도군·해남,2014-07-23,진도군,2014-08-01
2015,목포,2015-07-10,광양시,2015-08-19
2016,광주·목포·순천·영광군,2016-07-04,목포·여수,2016-08-25
2017,광주·영광군·해남,2017-07-01,여수,2017-08-28
2018,목포·장흥·진도군,2018-07-02,강진군·고흥·목포·여수·완도·장흥·진도군·해남,2018-08-30
2019,광주·영광군,2019-07-22,강진군·목포·보성군·여수·완도·장흥·해남,2019-08-21
2020,보성군,2020-07-19,보성군·여수,2020-09-01
2021,완도·진도군,2021-07-06,목포·여수·진도군,2021-08-31
2022,광주·목포·보성군·영광군,2022-06-26,강진군·고흥·광양시·광주·보성군·순천·여수·완도·장흥,2022-09-18


