
열대야일수
지점/지역명 : 서울경기

평균 열대야일수
연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연합계,순위
평년,0,0,0,0,0,0,2.8,3.6,0.1,0,0,0,6.5
1973,0.0,0.0,0.0,0.0,0.0,0.0,3.5,1.2,0.0,0.0,0.0,0.0,4.7,19
1974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.7,44
1975,0.0,0.0,0.0,0.0,0.0,0.0,1.7,2.0,0.0,0.0,0.0,0.0,3.7,28
1976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,46
1977,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.8,0.0,0.0,0.0,0.0,2.5,32
1978,0.0,0.0,0.0,0.0,0.0,0.0,3.8,3.2,0.0,0.0,0.0,0.0,7.0,13
1979,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.3,0.0,0.0,0.0,0.0,2.3,35
1980,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50
1981,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.8,0.0,0.0,0.0,0.0,3.7,27
1982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,1.3,41
1983,0.0,0.0,0.0,0.0,0.0,0.0,1.5,2.5,0.0,0.0,0.0,0.0,4.0,24
1984,0.0,0.0,0.0,0.0,0.0,0.0,1.7,2.5,0.0,0.0,0.0,0.0,4.2,23
1985,0.0,0.0,0.0,0.0,0.0,0.0,0.8,3.0,0.0,0.0,0.0,0.0,3.8,26
1986,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.0,0.0,0.0,0.0,0.5,45
1987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49
1988,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2.2,0.0,0.0,0.0,0.0,2.3,34
1989,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.7,0.0,0.0,0.0,0.0,1.8,39
1990,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.7,0.0,0.0,0.0,0.0,1.8,38
1991,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.0,0.0,0.0,0.0,0.7,43
1992,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,42
1993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48
1994,0.0,0.0,0.0,0.0,0.0,0.0,13.2,9.2,0.2,0.0,0.0,0.0,22.5,1
1995,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.2,0.0,0.0,0.0,0.0,8.2,12
1996,0.0,0.0,0.0,0.0,0.0,0.0,1.8,4.7,0.0,0.0,0.0,0.0,6.5,14
1997,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.7,0.2,0.0,0.0,0.0,8.8,11
1998,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.8,0.0,0.0,0.0,0.0,1.3,40
1999,0.0,0.0,0.0,0.0,0.0,0.0,1.2,2.2,0.0,0.0,0.0,0.0,3.3,30
2000,0.0,0.0,0.0,0.0,0.0,0.0,3.7,2.0,0.0,0.0,0.0,0.0,5.7,18
2001,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.2,0.0,0.0,0.0,0.0,4.2,22
2002,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.8,0.0,0.0,0.0,0.0,2.7,31
2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.3,47
2004,0.0,0.0,0.0,0.0,0.0,0.0,1.3,2.5,0.0,0.0,0.0,0.0,3.8,25
2005,0.0,0.0,0.0,0.0,0.0,0.0,1.2,2.7,0.3,0.0,0.0,0.0,4.2,21
2006,0.0,0.0,0.0,0.0,0.0,0.0,0.8,2.7,0.0,0.0,0.0,0.0,3.5,29
2007,0.0,0.0,0.0,0.0,0.0,0.0,0.3,5.5,0.0,0.0,0.0,0.0,5.8,15
2008,0.0,0.0,0.0,0.0,0.0,0.0,2.2,2.0,0.0,0.0,0.0,0.0,4.2,20
2009,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.8,0.0,0.0,0.0,0.0,2.0,37
2010,0.0,0.0,0.0,0.0,0.0,0.0,2.7,7.5,0.0,0.0,0.0,0.0,10.2,9
2011,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.3,0.0,0.0,0.0,0.0,2.2,36
2012,0.0,0.0,0.0,0.0,0.0,0.0,3.3,8.3,0.0,0.0,0.0,0.0,11.7,6
2013,0.0,0.0,0.0,0.0,0.0,0.0,1.5,10.7,0.0,0.0,0.0,0.0,12.2,5
2014,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.0,0.0,0.0,0.0,0.0,2.3,33
2015,0.0,0.0,0.0,0.0,0.0,0.0,2.5,3.2,0.0,0.0,0.0,0.0,5.7,17
2016,0.0,0.0,0.0,0.0,0.0,0.0,6.3,12.0,0.0,0.0,0.0,0.0,18.3,3
2017,0.0,0.0,0.0,0.0,0.0,0.0,5.3,5.5,0.0,0.0,0.0,0.0,10.8,7
2018,0.0,0.0,0.0,0.0,0.0,0.0,8.0,13.0,0.0,0.0,0.0,0.0,21.0,2
2019,0.0,0.0,0.0,0.0,0.0,0.0,4.7,5.7,0.3,0.0,0.0,0.0,10.7,8
2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,0.0,0.0,0.0,0.0,5.7,16
2021,0.0,0.0,0.0,0.0,0.0,0.0,8.3,1.5,0.0,0.0,0.0,0.0,9.8,10
2022,0.0,0.0,0.0,0.0,0.0,1.0,5.0,8.3,0.0,0.0,0.0,0.0,14.3,4


가장 긴 열대야
연도,지점,시작일,종료일,지속일수
1973,서울,1973-07-24,1973-07-26,3
1974,서울·인천,1974-08-19,1974-08-19,1
1975,서울,1975-07-20,1975-07-23,4
1976,수원,1976-08-21,1976-08-21,1
1977,서울,1977-07-22,1977-07-25,4
1978,인천,1978-07-26,1978-08-01,7
1979,서울·수원·인천,1979-08-15,1979-08-15,1
1980,,,,
1981,서울,1981-07-30,1981-08-02,4
1982,서울,1982-08-05,1982-08-06,2
1983,서울,1983-07-30,1983-08-04,6
1984,서울,1984-08-17,1984-08-19,3
1985,서울·인천,1985-08-22,1985-08-24,3
1986,인천,1986-07-31,1986-08-01,2
1987,,,,
1988,서울·인천,1988-08-15,1988-08-16,2
1989,서울·인천,1989-07-18,1989-07-19,2
1990,서울·수원·인천,1990-08-07,1990-08-07,1
1991,서울,1991-08-17,1991-08-17,1
1992,서울,1992-07-28,1992-07-28,1
1993,,,,
1994,서울,1994-07-17,1994-08-09,24
1995,서울,1995-07-30,1995-08-07,9
1996,수원,1996-08-01,1996-08-07,7
1997,서울,1997-07-23,1997-08-02,11
1998,수원,1998-08-11,1998-08-11,1
1999,서울,1999-08-07,1999-08-11,5
2000,수원,2000-07-16,2000-07-21,6
2001,인천,2001-07-31,2001-08-03,4
2002,서울·수원·인천,2002-07-26,2002-07-28,3
2003,서울·수원,2003-08-21,2003-08-21,1
2004,서울,2004-08-06,2004-08-12,7
2005,서울,2005-08-12,2005-08-16,5
2006,서울,2006-08-12,2006-08-15,4
2007,서울,2007-07-31,2007-08-03,4
2008,서울,2008-08-07,2008-08-10,4
2009,서울·인천,2009-08-17,2009-08-19,3
2010,인천,2010-08-18,2010-08-22,5
2011,서울·수원·인천,2011-08-05,2011-08-06,2
2012,서울,2012-07-27,2012-08-09,14
2013,서울·인천,2013-08-01,2013-08-09,9
2014,인천,2014-07-30,2014-08-01,3
2015,인천,2015-08-02,2015-08-07,6
2016,인천,2016-08-01,2016-08-24,24
2017,서울·인천,2017-08-01,2017-08-08,8
2018,서울·인천,2018-07-21,2018-08-15,26
2019,인천,2019-08-02,2019-08-10,9
2020,서울,2020-08-24,2020-08-28,5
2021,인천,2021-07-17,2021-07-31,15
2022,서울,2022-07-26,2022-08-08,14


가장 빠른/가장 늦은 열대야
연도,가장 빠른 지점,가장 빠른 날짜,가장 늦은 지점,가장 늦은 날짜
1973,강화,1973-07-12,인천,1973-08-27
1974,강화,1974-08-01,서울·인천,1974-08-19
1975,서울,1975-07-20,강화,1975-08-31
1976,강화·양평,1976-08-19,수원,1976-08-21
1977,서울,1977-07-22,수원·양평·이천,1977-08-03
1978,서울·수원,1978-07-02,인천,1978-08-28
1979,강화·수원·이천·인천,1979-07-26,서울·수원·인천,1979-08-15
1980,,,,
1981,서울,1981-07-15,서울·수원·이천,1981-08-02
1982,강화·서울·수원·이천·인천,1982-08-05,서울,1982-08-11
1983,수원,1983-07-24,강화,1983-08-07
1984,서울·인천,1984-07-26,서울·수원,1984-08-19
1985,양평,1985-07-09,강화,1985-08-27
1986,서울,1986-07-30,인천,1986-08-01
1987,,,,
1988,수원,1988-07-12,서울·인천,1988-08-16
1989,강화·서울·인천,1989-07-18,서울,1989-08-19
1990,수원,1990-07-20,서울·수원·인천,1990-08-07
1991,서울·수원,1991-07-28,서울,1991-08-17
1992,서울·수원,1992-07-20,서울,1992-07-28
1993,,,,
1994,수원·이천,1994-07-04,이천,1994-09-04
1995,수원,1995-07-12,수원,1995-08-18
1996,서울,1996-07-19,서울·수원·인천,1996-08-21
1997,양평,1997-07-03,수원,1997-09-01
1998,동두천·서울,1998-07-06,수원,1998-08-11
1999,서울,1999-07-20,서울,1999-08-17
2000,서울·수원,2000-07-16,서울·수원·인천,2000-08-30
2001,서울,2001-07-20,서울·인천,2001-08-17
2002,인천,2002-07-04,인천,2002-08-05
2003,서울·수원,2003-08-21,서울·수원,2003-08-21
2004,서울·수원,2004-07-18,서울,2004-08-12
2005,서울,2005-07-22,수원·이천,2005-09-01
2006,이천,2006-07-12,서울,2006-08-22
2007,서울,2007-07-26,서울·인천,2007-08-25
2008,양평,2008-07-06,강화·서울·수원·인천,2008-08-10
2009,서울,2009-07-16,강화·서울·수원·양평·인천,2009-08-19
2010,수원,2010-07-01,수원·인천,2010-08-27
2011,수원,2011-07-18,서울,2011-08-11
2012,강화·문산·서울·수원·인천·파주,2012-07-22,동두천·문산·서울·수원·양평·인천·파주,2012-08-27
2013,문산·서울·수원·인천·파주,2013-07-15,서울·수원·양평·인천,2013-08-21
2014,서울,2014-07-08,양평,2014-08-05
2015,서울·인천,2015-07-10,인천,2015-08-18
2016,인천,2016-07-20,인천,2016-08-24
2017,서울,2017-07-11,강화·동두천·문산·백령도·서울·수원·양평·이천·인천·파주,2017-08-23
2018,서울·수원,2018-07-11,강화·동두천·서울·수원·양평·인천,2018-08-22
2019,강화·동두천·서울·수원·양평·인천,2019-07-19,수원·인천,2019-09-06
2020,서울·수원,2020-08-04,문산·파주,2020-08-29
2021,서울·수원·인천,2021-07-12,서울·수원·인천,2021-08-05
2022,서울·수원,2022-06-26,서울·인천,2022-08-21


